수집일자,상품번호,단계,오류
2026-08-28,A000000248829,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (cf) — 쿠키 확보 후 재시도
2026-08-28,A000000263071,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000260483,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000006565,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000263073,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000263725,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000261742,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000186409,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000217620,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000174309,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000138671,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000223627,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000158513,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000247241,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000253122,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000260600,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000231822,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000253093,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000248500,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000255585,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000203943,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000166090,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000263579,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000205555,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000254712,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000226202,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000258297,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000183059,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000157820,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000240462,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000200646,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000252574,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000213943,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000230821,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000150361,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000199182,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000162114,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000259555,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000205802,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000263020,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000261733,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000158615,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000262621,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000205979,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000206904,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000263043,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000234394,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-08-28,A000000223283,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
