수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-07-31,A000000211213,63499357,2026.07.31,5,0,NORMAL,[아밤기획] 아밤30ml+아밤31ml,A01,B04,"C03,C10",0,792.0,1,0,헬시바라,"판매자에게 제품비 일부를 지원받았지만 저의 솔직한 후기입니다.

모밤이 나쁜 건 전혀 아닌데 보습감이 있다 보니 너무 부담스럽더라고요. 아밤이 확실히 지성하고 수부지 친구들에게 적당한 크림이라 생각해요."
2026-07-31,A000000211213,63506632,2026.07.31,5,0,NORMAL,[아밤기획] 아밤30ml+아밤31ml,A03,B02,"C01,C02",0,660.0,1,0,도그닥,왜 비싼지 알겠네요 ㅎㅎ.. 너무 좋습니다. 남자인데 이거 바르니까 뭔가 꾸민것 같고 좋네요. 냄새도 레몬향 나고 보습도 은근 잘 되구요. 땀이 많은 타입인데 딱 좋군요
2026-07-31,A000000251494,62369429,2026.07.05,5,0,OL_YOUNG, ,A03,B04,"C01,C02",22,7956.0,0,0,applemint22,건성피부에 추천드리는 제형이에요. 기미 잡티에 효과가 있는지는 아직 잘 모르겠습니다. 꾸준히 발라봐야할 것 같아요. 리치한 제형이라 저녁에 바르니 피부결이 매끄러워졌어요.
2026-07-31,A000000251494,62353302,2026.07.05,4,0,OL_YOUNG, ,A01,B03,"C04,C06",14,5580.0,1,0,치요데스,"같은 장나라 배우님 광고지만 &lt;도미나&gt; 크림과 달라요!
&lt;도미나 크림&gt;은 약국에서만 파는 제품으로,
하이드로퀴논이 들어있어서 실제 기미에 효과가 있고
&lt;도미나스 크림&gt;은 이런 뷰티채널에서 팔 수 있는 제품으로
하이드로퀴논이 0.1%도 들지 않은 단순 미백크림이에요.

다른 기미크림 사드리긴했지만,
전부터 엄마가 도미나크림도 써보고 싶다하여서 받았는데
기미에 도움이 안된다고요...? 그냥 미백이라니....

게다가 박스 겁나 커서 용량 개큰줄 알고 엄마랑 같이 쓰려했는데
진짜 요만한 30ml!!!!! 크림인데 화장솜 왜 주는 거예요?
화장솜 빼고 그냥 작은 박스대로 주시는 게 나을 듯....
과대포장 같아서 별로예요...."
2026-07-31,A000000251494,62099351,2026.06.30,5,0,OL_YOUNG, ,A03,B02,"C04,C06",4,990.0,1,0,홀리몰리올리브영,"도미나 크림은 워낙 유명하지만 약국에서만 판매하는 일반 의약품이다보니 사용법과 관리법이 다소 까다로운데, 도미나스 크림은 상대적으로 구매하기도 쉽고 부작용 걱정이 덜 해서 마음 놓고 사용할 수 있었습니다. 이미 깊어지고 착색이 진해진 기미나 잡티에는 도미나 크림을 사용하는 것이 맞겠지만, 전체적인 피부 톤 개선을 원한다면 데일리로 쓰기에 부담 없는 도미나스 크림이 적합하다고 생각됩니다. 저는 예전에 사용하던 도미나스 크림이 조금 남아있는데 디자인이 살짝 변경된 것 같네요. 솔직히 드라마틱한 변화는 없지만 피부톤을 조금이라도 맑게 하고 싶은 마음에 꾸준히 사용하고 있어요. 제형은 촉촉해서 부드럽게 잘 스며들어요. 지성 피부가 단독으로 사용하기에는 조금 끈적거릴 수 있지만 부분적으로 나누어서 사용하기에는 무리 없었습니다."
2026-07-31,A000000251494,62548158,2026.07.09,5,0,NORMAL,크림 Rx 30ml 기획,A01,B03,"C01,C02",0,900.0,1,0,iuudiw88,"바이럴?인지 요새 일본을 비롯한 외국인들이 한국 와서 사야할 뷰티템 목록에서 몇 번 본 것 같아요 
여튼 올영에서도 판매하길래 구매했는데 확실히 그냥 화장품 회사보다는 제약 회사 거가 더 신뢰감 가고 좋은 느낌입니다
여름인데도 너무 겉돌거나 뒤집어지는 것 없이 기미부위에 사용하기 좋아요"
2026-07-31,A000000251494,62374683,2026.07.05,5,0,OL_YOUNG, ,A01,B03,"C04,C05",0,900.0,1,0,위베어베어스,"유분기가 어느정도 있는 편이라 얼굴 전체에 바르기보단 국소부위에 조금씩 펴발라 사용하시는 걸 추천하는 제품이에요.
발림성은 엄청 부드러워서 놀랐어요. 크게 꾸덕하다기보단 일반 수분크림보다 조금 더 리치한 느낌 정도네요. 향은 무향은 아니고, 향기로운 플로럴 향…?이 나는데 호불호 크게 없을 좋은 향이라 괜찮아요.
도미나스 크림이 워낙 기미잡티 쪽에서 유명한 제품이라 한번 써보고 싶었는데, 대략 2~3주간 사용해본 지금으로서는 만족하며 잘 쓰고 있어요. 안 바르는 것보단 확실히 나은 것 같아서 추천합니다!"
2026-07-31,A000000251494,62356807,2026.07.05,5,0,OL_YOUNG, ,A04,B01,,1,900.0,1,0,황금손,"방송 광고로도 보고 워낙 유명한 제품이기도 해서
꼭 써보고 싶었던 제품이에요

제형은 수분크림같은 제형은 아니에요
조금 무겁게 느껴지기도 해서 밤에 바르고 자기 좋아요

바르자마자 막 피부가 깨끗해져 이건 당연히 아니고요ㅎㅎ
좀 꾸준히 발라줘야 할 거 같은데
우선 바르면서 느낌은 괜찮아요
민감한 피부인데도 트러블 없고 막 부담스럽지도 않고요

좀 신경쓰이던 부분에 집중적으로 발라주면 좋은 거 같아요

저보다 엄마가 더 호기심있어 하시면서 같이 쓰고 있는데
엄마 만족도가 더 높은 거 같아요ㅎㅎ"
2026-07-31,A000000251494,62354252,2026.07.05,5,0,OL_YOUNG, ,A02,B02,"C01,C02",0,900.0,1,0,사월이요,"크림 제형이 부드러워서 발림성도 부드럽습니다. 향은 있는데 엄청 강하지는 않습니디. 꽃, 숲속, 시원한 느낌의 향은 아닙니다. 흡수력은 수분크림 처럼 바르자 마자 바로 스며들지 않습니다. 처음에는 살짝 미끄러움이 남아 있는데 몇 분 지나면 다 스며듭니다.  다 흡수된 후에는 보습력은 유지되면서 끈적임이 없습니다. 피부 이상 여부 확인 하려고 본품 말고 증정부터 사용했는데 트러블, 민감 반응 없어서 데일리로 잘 사용중입니다. 
기미, 잡티, 색소침착 부위가 많지는 않지만 조금씩은 다 있어서 아침에는 적당히, 저녁에는 좀 더 넉넉히 바르고 있는데 이미 생긴 부위가 빠르게 없어지는 건 아니지만 더 심해지지 않게 도움 되는 것 같습니다."
2026-07-31,A000000251494,62151255,2026.07.01,5,0,OL_YOUNG, ,A03,B03,C08,0,900.0,1,0,인생템만리뷰할거야,"잡티가 고민이라 신청해보았어요
원래부터 유명했던 제품이라 기대가 많았어요!
나이트 크림으로 사용해줬는데 속 건조가 잡히고 
사용감이 되게 편안해서 손이 가는 크림이었어요 
꾸준하게 사용하면 효과도 분명히 있을 것 같은 느낌이 듦..
우선 제형이 좋으니까 계속해서 사용하면 좋을 것 같아요 
기미나 주근깨가 고민이 사람한테도 좋을 거 같음,,
저는 일단 후 여드름자국이 고민이었는데 
약간 옅어지는 걸 느꼈어요! 꾸준하게 써볼 예정.."
