수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-08-01,A000000223414,63411939,2026.07.28,5,0,NORMAL,티트리 진정수분 4매,A03,B04,"C01,C05",10,8712.0,1,0,feelslike,"피부 열감을 내리고 붉은 기를 빠르게 진정시키고 수분을 가득 채워줌👍🏼 여름에는 역시 저녁에 시원한 시트마스크 붙이면 짱☺️
가성비 포기 못해.. 요 제품만 평생 쓸 듯!! ㅋㅋㅋㅋㅋ"
2026-08-01,A000000223414,63427104,2026.07.29,5,1,OFFLINE, 마데카소사이드 흔적 리페어 4매,A01,B03,C11,11,7992.0,0,0,울산현대,가성비 너무조아옹 행사하길래 구매했는데 좋습니다 !!!!
2026-08-01,A000000223414,63168160,2026.07.23,5,0,NORMAL,티트리 진정수분 4매,A02,B05,"C01,C05",11,7290.0,1,1,lulululalalah,"* 티트리 성분잘맞아서 마스크팩 자주 해주는데
티트리 마스크팩은 메디힐이 가장 좋아요!!

* 가벼운 수분마스크팩이라서 아침저녁으로
사용하기 좋고 15분정도 붙이면
안마르고 딱 좋아요!!

* 티트리 마스크팩 찾는분들께 추천해요!!"
2026-08-01,A000000223414,63391200,2026.07.28,5,0,NORMAL, 마데카소사이드 흔적 리페어 4매,A04,B02,"C04,C05",10,7272.0,0,1,굼미굼미,"어제도 사용했어요. 여행 다녀온 후로 피부가 푸석해지고 손상된 것 같아 취침 전 세안하고 냉장고에 20분정도 넣어둔 마스크팩 꺼내서 썼네요! 흡수력 너무 좋고, 끈적임 없는데다가 기상하니 피부가 쫀쫀하고 매끈해졌어요 ㅎ"
2026-08-01,A000000223414,63369094,2026.07.27,5,0,NORMAL, 마데카소사이드 흔적 리페어 4매,,,,10,7272.0,0,0,iuu,재재재구매 중인데 에센스 양도 충분하고 얼굴에도 잘 맞고 진정 효과가 좋아요 추천드려요!!
2026-08-01,A000000223414,63293855,2026.07.26,5,0,NORMAL,비타민씨 잡티토닝 4매,A04,B02,"C04,C05",10,7272.0,0,1,굼미굼미,"지금처럼 햇살 강할 때, 피부에 열감이 있을 때, 햇빛으로 인한 피부손상시 사용하기 좋아요! 낮에 선크림을 발라도 피부에 손산이 있기에 저녁에 관리를 해줘야 하는데 저는 꾸준히 마스크팩 쓰고 있어요! 피부가 화사해져서 좋아요 ㅎㅎ"
2026-08-01,A000000223414,63289632,2026.07.26,5,1,OFFLINE, 마데카소사이드 흔적 리페어 4매,A02,B04,,10,7272.0,0,0,로,"바로 적용이 가능해서 문제없어서
사용이 편하고 저렴해서 좋아요"
2026-08-01,A000000223414,63184587,2026.07.23,5,1,OFFLINE, 티트리 진정수분 1매,A03,B05,"C02,C05",13,7074.0,0,0,슈쁭,"데일리로 쓰기 너무너무 좋은 팩입니다!!
가격도 착해서 세일할때 항상 주문해서 사용하고 있어요!
진정 수분에 좋습니다"
2026-08-01,A000000223414,63031978,2026.07.19,5,0,NORMAL,비타민씨 잡티토닝 4매,A04,B02,"C04,C05",10,6750.0,1,1,굼미굼미,"요즘같이 덥고 습하고 햇살도 강한 날에는 비타민씨 마스크팩 필수! 작년부터 잘 써왔어서 이번 여름도 이 팩으로만 관리하고자 많이 구매했어요 ㅎㅎ 
미백은 당연 효과 있고 취침 전 사용시 진정에 탄력까지 효과 높아요!! 사용 후에는 끈젇임없이 흡수 잘되니까 강추해요!"
2026-08-01,A000000260522,62717444,2026.07.12,5,0,NORMAL,160ml 더블기획,A01,B05,"C05,C06",4,2340.0,1,0,됴럄이쥐,"&lt;한 달 사용 리뷰&gt;
한 달 직접 사용해보고 남기는 후기입니다 ! 
만족도 : ⭐️X5

평소 세안 후 피부가 쉽게 당기는 편이라 순한 클렌저를 찾다가 구매하게 되었습니다. 사용해 보니 거품이 부드럽고 풍성하게 만들어져 자극 없이 세안하기 좋았어요.

세안 후에도 피부가 땅기지 않고 촉촉한 느낌이 남아 있어서 만족스러웠습니다. 그렇다고 세정력이 부족한 것도 아니어서 가벼운 메이크업 잔여물이나 피지, 노폐물은 깔끔하게 씻겨 나가는 느낌이었습니다. 특히 아침 세안용으로 사용하기에도 부담이 없었어요.

향도 강하지 않아 누구나 편하게 사용할 수 있을 것 같고, 민감한 날에도 자극 없이 사용할 수 있었습니다. 대용량 구성에 더블 기획이라 가성비도 좋아 꾸준히 사용하기 좋은 제품이라고 생각합니다. 순하면서도 깔끔한 세정감을 원하는 분들에게 추천합니다.

매번 재구매하는 아이템 중 하나예요 ㅎㅎ 
모든 분들께 추천드립니다👍🏻"
