수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-08-10,A000000226517,63740057,2026.08.04,5,0,NORMAL,[블리치] 브로우 톤체인저,,,,3,2100.0,1,0,꺄악두기,"주기적으로  눈썹 염색하는데 완전 밝게 하고 싶은데 너무 아파서 염색약으로 바꾼 루 코스노리 제품이 있길래 구매했습니다!! 일단 완전 단시간에 빼기 좋고 너무 간단해서 좋아요!!!
어차피 어두운 브로우 카라로 명도만 맞추면 원하는 컬러 나올거 같아요!!"
2026-08-10,A000000255058,59272054,2026.05.06,5,0,NORMAL, ,,,,0,225.0,1,0,ysy4****,"[상품제공 리뷰] 평소에 매일 선크림을 바르다 보니 선크림의 발림성을 중요하게 생각하는데, 
부드럽게 잘 발리고 촉촉해서 답답함 없이 사용할 수 있었어요! 선크림을 바르고 나면 생기는 밀림 현상이나 백탁현상도 없어서 선크림 바른 후 메이크업하기도 좋습니다"
2026-08-10,A000000255058,59796805,2026.05.18,5,0,NORMAL, ,,,,0,100.0,1,0,kangth****,"백탁없이 촉촉하게 피부이 올라가는 제형이에요!
워터리하고 가벼운 느낌이라 더워지는 시즌에 발라주면 좋을거 같아요.
촉촉하게 발리면서 흡수력도 빠르고 산뜻하게 마무리 되서 만족스러워요.
메이크업이 밀리지 않고 피부결도 좀 매끈해보이는 기분도 들어요!
워터프루프라서 땀나서 흘러내릴까 하는 걱정은 안해도되서 좋아요.
유기자차의 장점이 무기자차의 효과도 나서 최곤거 같아요. 
피부가 답답하지도 않고 보습감도 잡아줘서 여름에 수분손실도 없을거 같아 꾸준히 쓰려구요!"
2026-08-10,A000000255058,59759032,2026.05.17,5,0,NORMAL, ,,,,0,100.0,1,0,nana****,"두껍게 바르는걸 너무 싫어 하는데요 밀림없이 가벼운 발림성이 너무 좋은 선크림 
자외선 차단도 완벽해서 한여름 에도 부담 없이 바를수 있고 
시간이 지나도 무너짐 없이 바를수 있고, 특히 땀과 물에도 잘 지워지지 않아서 장시간 그리고 물놀이시 바르기 너무 좋은거 같앗습니다
유분기 없이 촉촉하게 스며느는 제형으로 격한 운동으로 잘 지워지지 않고 수분감이 오래동안 유지되어 보송한 피부케아에도너무 만족 스러웠어요 
순하고 촉촉한 포물러 아이들과 부담 없이 사용 할 수 있어서 좋숩니다 갑자기 더워지는대요  답답함 없이 촉촉함유지까지 좋아서 우리가족 선크림 찾으시는분에게 추천드립니다"
2026-08-10,A000000255058,63487075,2026.07.30,5,0,NORMAL, ,,,,0,66.0,1,0,dlrlans****,"발림성 노무 좋고, 눈시림 아예 없고 찾기 힘들어서 그러지 인생템입니자."
2026-08-10,A000000255058,63944466,2026.08.09,5,0,NORMAL, ,,,,0,60.0,0,0,K1nns0304,"첨 발랐을 땐 간질간질한 느낌이 나길래 안맞나 싶었는데 다음날엔 보니까 피부가 ㄱㅊ더라구요
발림성도 부드럽고 촉촉해여
원래 코에 땀이 많이 나는데 항상 선크림이 지워질까봐 걱정했거든요 근데 워터푸르프 선크림이라 걱정이 안돼영 굿👏"
2026-08-10,A000000255058,59324999,2026.05.07,5,0,NORMAL, ,,,,0,50.0,1,0,lye****,"워터프루프 제품이라서 다가오는 여름철에 구매하면 좋을 고 같아서 구매해봤는데요. 피부에 올리자마자 촉촉함이 올라오고 발림성도 부드러워서 소량으로도 넓게 펴바를 수 있어서 좋더라구요. 혹시 워터프루프 제품이라서 매트하게 발리거나 뭉칠까봐 걱정했는데 그런 현상 전혀없고 오히려 메이크업 전에 바르니까 화장도 잘먹고 피부표현도 이쁘게 됐어요 ㅎㅎ 
요즘에는 운동 나갈때마다 챙겨바르고 있는데 여러모로 만족라며 사용중입니다 :)"
2026-08-10,A000000255058,62119556,2026.06.30,5,0,NORMAL, ,,,,0,45.0,0,0,annellocin,"여름철 야외 활동이 많아져서 워터프루프 선크림을 찾다가 유이크 제품으로 구매해 한 달 동안 써봤어요.

우선 워터프루프 제품인데도 끈적임이나 뻑뻑함 없이 촉촉하고 부드럽게 발리는 제형이라 깜짝 놀랐어요. 피부에 착 밀착되면서 겉은 산뜻하게 마무리되니까 땀을 많이 흘려도 하얗게 지워지거나 무너지지 않고 하루 종일 자외선을 잘 막아주는 게 느껴집니다.

바이옴 성분이 들어있어서 그런지 한 달 내내 매일 발라도 피부 트러블이나 눈 시림 없이 정말 편안했어요. 백탁 없이 자연스러워서 메이크업 전에 바르기도 딱 좋습니다. 올여름 선크림은 이걸로 정착하려고요!"
2026-08-10,A000000255058,59263549,2026.05.06,5,0,NORMAL, ,,,,0,42.0,1,0,haneu****,"아기랑 나가면 선크림 대충 바르기 쉬운데 이건 가볍게 발리고 끈적임 없어서 손이 자주 가요!
땀 나도 쉽게 지워지지 않아서 요즘 외출할 때 거의 이걸로 사용하고 있어요🫧"
2026-08-10,A000000255058,59658619,2026.05.15,5,0,NORMAL, ,A06,B01,"C01,C04",6,31.5,1,0,amh1117,"여름이 다가오는만큼 더 열심히 발라줘야되는 선크림!
하루에 10km정도는 항상 뛰는지라
선크림 진짜 이것저것 많이 써봤는데
바르면 답답하고 향도 거북하고 마음에 드는거 찾기 힘들었거든요 근데 유이크 워터프루프 선크림 만나고 정착했어요 촉촉해서 건조한 얼굴에도 부드러운 로션처럼 잘 발리고 달리기뛰면서 땀흘려도 찝찝함도 없어요!!"
2026-08-10,A000000255058,63612754,2026.08.02,5,0,NORMAL, ,,,,0,30.0,0,0,suklueh****,라이즈 때문에 유이크 썼다가 선크림이 인생선크림 되어버림 유이크 모든종류 선크림 다 써봤는데 워터프루프선크림 가장 좋음 피부가 지복합성이라 너무 수분기 많으면 기름까지 끼는데 워터프루프는 바를 때는 수분감이 있어도 마르면 피부에 착 달라붙어서 뽀송하고 기름도 적당히 낌 아직 장시간은 안 써봐서 어두워지거나 유전터지는 건 못 겪어봄 보라선크림이 최애였는데 곧 자리를 내줄 거 같음 할인하면 쟁여야 함
2026-08-10,A000000255058,62739930,2026.07.13,5,0,NORMAL, ,A03,B04,"C01,C02",0,30.0,0,0,짱다혜,"끈적임이 없어서 진짜 진짜 너무 좋아요! 썬크림 바르고 베이스하면 늘 한두시간 있다가 화장이 다 무너졌는데 이건 그런게 전혀없어요 그냥 물처럼, 로션처럼 가볍게 흡수되어서 많은 썬크림 중에서도 자주 손이 가요!"
2026-08-10,A000000255058,59805874,2026.05.19,5,0,NORMAL, ,A06,B03,"C05,C06",0,22.5,1,0,바카2349,"로션타입의 부드럽게 발리는 제형이에요! 유기자차치고 번들거리지않아서 좋았습니당! 백탁같은거 전혀 없오요
촉촉하고 지속력도 좋은 편인 것 같아요! 전 지성인데도 괜찮았어요~~ 눈시림도 없어서 편하게 쓸 것 같습니다👍 올 여름 알차게 쓸 예정이에요~~!"
2026-08-10,A000000255058,59701912,2026.05.16,5,0,NORMAL, ,A03,B02,C02,0,22.5,1,0,포비이,"더운 여름에는 워터프루프 선크림을 선호하는데 워터프루프 선크림은 좀 뻑뻑한 경우가 많잖아요. 근데 이 선크림은 발림성이 정말 좋아요. 촉촉하고 부드럽게 잘 발립니다! 근데 이게 유분기가 있는게 아니라 수분이라서 끈적임이 없어요!!
백탁이나 눈시림도 없어서 제가 써본 선크림중에 제일 마음에 들어요! 근데 워터 프루프까지 있다니 러닝할때도 잘 쓸수 있을 것 같아요. 재구매 의사 완전 200%예요.
올 여름 선크림으로 유이크 바이옴 레미디 워터프루프 선크림 완전 추천합니다!"
