수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,대표이미지URL,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-08-04,전체,1,라운드랩,[라이브특가/4년연속1등] 라운드랩 자작나무 수분 선크림 50ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171650,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017165043ko.jpg?l=ko,37500,24000,36.0,23016,4.8,87,10,2,0,0,1,1,1,1,A000000171650,ALL
2026-08-04,전체,2,메디힐,[15년 연속 1위] 메디힐 에센셜 마스크팩 10/10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A000000223414117ko.jpg?l=ko,20000,10000,50.0,465092,4.9,91,7,2,0,0,1,0,0,1,A000000223414,ALL
2026-08-04,전체,3,바이오더마,[8/4 하루특가] 바이오더마 센시비오 H2O 850ml(클렌징워터),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130319,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0013/A00000013031986ko.jpg?l=ko,37500,22400,40.3,52881,4.9,91,7,1,0,0,1,1,1,1,A000000130319,ALL
2026-08-04,전체,4,비플레인,[8월올영픽/2천만돌파]비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260522,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026052207ko.jpg?l=ko,26000,22900,11.9,17833,4.9,89,8,2,0,0,1,1,1,1,A000000260522,ALL
2026-08-04,전체,5,힌스,[3일특가/올리브영 단독 선런칭/리뷰이벤트] 힌스 누 글로우 화이트 쿠션 5 Colors 기획 (본품+리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261630,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026163002ko.jpg?l=ko,34000,19900,41.5,46,5.0,98,2,,,,1,1,1,1,A000000261630,ALL
2026-08-04,전체,6,일리윤,일리윤 세라마이드아토 집중크림 150ml*2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217767,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021776712ko.jpg?l=ko,25000,18900,24.4,35753,4.9,92,6,2,0,0,1,0,0,1,A000000217767,ALL
2026-08-04,전체,7,딜라이트 프로젝트,[8월올영픽]딜라이트 프로젝트 단백질쉐이크 모음전(1개입/7개입/통),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231574,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023157448ko.jpg?l=ko,3900,3510,10.0,146724,4.8,89,7,3,1,0,0,1,0,1,A000000231574,ALL
2026-08-04,전체,8,메디힐,[단독기획] 메디힐 더마 패드 200매 대용량 기획 세트 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171427226ko.jpg?l=ko,39900,28900,27.6,77804,4.8,85,10,3,1,1,1,0,0,1,A000000171427,ALL
2026-08-04,전체,9,에스트라,[8.4 하루특가] 에스트라 아토베리어365 하이드로 수딩크림 80ml 기획 (+수딩크림 10ml+클렌징폼 30g),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258834,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025883413ko.jpg?l=ko,33000,24700,25.2,12687,4.8,88,9,2,0,1,1,1,1,1,A000000258834,ALL
2026-08-04,전체,10,메디힐,[양현종 PICK/미니어처 증정] 메디힐 마데카소사이드 수분 선세럼 흔적 리페어 50+50g 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232672,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023267243ko.jpg?l=ko,34900,21400,38.7,14105,4.9,90,8,1,0,0,1,1,1,1,A000000232672,ALL
2026-08-04,전체,11,프로뉴트리션,[8월 올영픽] 프로뉴트리션 듀얼플랜 다이어트 유산균 14포,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205496,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020549616ko.jpg?l=ko,39800,30900,22.4,283,4.5,74,9,13,2,2,1,1,0,1,A000000205496,ALL
