수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,대표이미지URL,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-08-12,전체,1,아누아,[수지 PICK/한정기획] 아누아 피디알엔 히알루론산 수분 캡슐 미스트 100ml 2입 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247773,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024777320ko.png?l=ko,70000,33500,52.1,6375,4.6,77,13,7,2,2,1,0,0,1,A000000247773,ALL
2026-08-12,전체,2,메디힐,[15년 연속 1위] 메디힐 에센셜 마스크팩 10/10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A000000223414117ko.jpg?l=ko,20000,10000,50.0,471475,4.9,91,7,2,0,0,1,0,1,1,A000000223414,ALL
2026-08-12,전체,3,닥터지,[화잘먹/저자극] 닥터지 브라이트닝 필링젤 기획 (120+60+세럼2ml/120ml+120ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162279,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016227948ko.jpg?l=ko,21000,15900,24.3,44423,4.8,83,13,3,0,0,1,1,0,1,A000000162279,ALL
2026-08-12,전체,4,힌스,[미니쿠션 증정] 힌스 누 글로우 화이트 쿠션 5 Colors 기획 (본품+리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261630,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026163006ko.jpg?l=ko,34000,26500,22.1,785,4.8,88,9,2,1,1,1,1,1,1,A000000261630,ALL
2026-08-12,전체,5,위프,"[8/12 단, 하루. 올영 단독기획세트] 위프 고체탈취제 300g+100g (+16종)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248026,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024802625ko.jpg?l=ko,21900,18810,14.1,567,4.7,82,10,6,1,1,1,1,0,1,A000000248026,ALL
2026-08-12,전체,6,메디힐,[업그레이드 수분흔적세럼/1+1] 메디힐 마데카소사이드 더마 세럼 50+50mL 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261742,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026174206ko.png?l=ko,43000,24400,43.3,565,4.9,96,4,0,0,0,1,1,1,1,A000000261742,ALL
2026-08-12,전체,7,메디힐,[업그레이드 리뉴얼/단독기획] 메디힐 더마 패드 200매 대용량 기획 세트 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171427227ko.png?l=ko,39900,28600,28.3,78378,4.8,85,10,3,1,1,1,1,1,1,A000000171427,ALL
2026-08-12,전체,8,달바,[생기톤업/스웨트프루프] 달바 핑크 톤업 선크림 듀오 기획 (50ml+50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232725,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023272527ko.png?l=ko,51000,34900,31.6,12260,4.8,89,8,2,0,0,1,1,0,1,A000000232725,ALL
2026-08-12,전체,9,메디힐,[업그레이드 리뉴얼/87관왕 No.1] 메디힐 더마 토너패드 100매 7종 피부 고민별 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171426,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171426106ko.png?l=ko,26000,17900,31.2,82660,4.8,86,10,3,1,1,1,0,1,1,A000000171426,ALL
2026-08-12,전체,10,딜라이트 프로젝트,[8월올영픽]딜라이트 프로젝트 단백질쉐이크 45g 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208162,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020816269ko.jpg?l=ko,3900,3600,7.7,44548,4.8,90,7,3,0,0,0,1,0,1,A000000208162,ALL
2026-08-12,전체,11,웰라쥬,[8월올영픽] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+60ml 리필+수딩크림 30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026142335ko.jpg?l=ko,50000,29500,41.0,18253,4.8,89,8,2,0,0,1,1,1,1,A000000261423,ALL
2026-08-12,전체,12,셀라딕스,[리뷰이벤트/트러블1등] 셀라딕스 세범 리밸런싱 131 앰플 30ml 기획 (+미니언즈 키링) (미니언즈 콜라보),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260600,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026060006ko.jpg?l=ko,28900,25400,12.1,136,4.8,88,7,4,1,1,1,1,0,1,A000000260600,ALL
2026-08-12,전체,13,헤트라스,[단독선런칭/8월 올영픽] 헤트라스 고체탈취제 300g 2개입 5종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261733,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026173309ko.png?l=ko,18800,18400,2.1,382,4.9,96,3,1,,,1,1,0,1,A000000261733,ALL
2026-08-12,전체,14,비플레인,[8월올영픽/2천만돌파]비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260522,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026052209ko.jpg?l=ko,26000,23500,9.6,18418,4.9,89,8,2,0,0,1,1,0,1,A000000260522,ALL
2026-08-12,전체,15,라카,[올영PICK/1분픽싱] 라카 퍼펙트 트윈 립 4.7g+4.2g 10 colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255256,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025525610ko.jpg?l=ko,22000,17300,21.4,3251,4.5,71,16,8,3,3,1,1,1,1,A000000255256,ALL
2026-08-12,전체,16,토리든,[NEW/1등수분세럼] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필 기획(+리필 50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258291,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025829122ko.jpg?l=ko,36000,27000,25.0,4997,4.9,90,7,2,0,0,1,0,0,1,A000000258291,ALL
2026-08-12,전체,17,에이프릴스킨,[리뉴얼/철벽커버] 에이프릴스킨 히어로쿠션 2.0 (본품+리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259872,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025987261ko.png?l=ko,33000,24100,27.0,409,4.7,85,8,4,1,2,1,0,0,1,A000000259872,ALL
2026-08-12,전체,18,AHC,AHC 마스터즈 에어리치 선스틱 22g 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259260,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025926011ko.jpg?l=ko,39000,29600,24.1,19205,4.8,89,9,2,0,0,1,1,0,1,A000000259260,ALL
2026-08-12,전체,19,롱테이크,롱테이크 샴푸 300+100ML 기획 및  단품,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164470,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0016/A00000016447045ko.jpg?l=ko,24000,21000,12.5,3479,4.9,91,6,2,1,0,1,0,0,1,A000000164470,ALL
2026-08-12,전체,20,어노브,[4년 연속 1위] 어노브 딥 데미지 리페어 헤어 마스크 (트리트먼트/헤어팩) 320ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171423164ko.png?l=ko,42000,29800,29.0,88717,4.9,89,8,2,0,0,1,0,0,1,A000000171423,ALL
2026-08-12,전체,21,디어클레어스,[NEW / 수부지추천] 클레어스 블루 EGF 카밍 미스트 100ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259319,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025931916ko.jpg?l=ko,29900,18900,36.8,282,4.4,76,6,7,4,6,1,1,0,1,A000000259319,ALL
2026-08-12,전체,22,바닐라코,[8월올영픽/1+1] 바닐라코 무드 온 라인 앤 블렌드 아이라이너 (펜슬/트임/애교살) 10colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226202,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022620226ko.jpg?l=ko,12000,11500,4.2,4383,4.7,81,13,4,1,1,0,1,1,1,A000000226202,ALL
2026-08-12,전체,23,프로티원,프로티원 단백질쉐이크 파우치형 40g 6종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202771,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A000000202771194ko.jpg?l=ko,3900,3900,0.0,95033,4.8,86,9,4,1,1,0,0,0,1,A000000202771,ALL
2026-08-12,전체,24,에스트라,[올영 어워즈 1등 크림] 에스트라 아토베리어365 크림 80ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198320,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019832009ko.jpg?l=ko,33000,29700,10.0,7305,4.8,89,7,2,1,1,1,0,0,1,A000000198320,ALL
2026-08-12,전체,25,메디힐,[15년연속 1위] 메디힐 에센셜 마스크팩 1매 고기능 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217620,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021762059ko.png?l=ko,2000,1000,50.0,517743,4.9,89,8,2,0,0,1,0,1,1,A000000217620,ALL
2026-08-12,전체,26,비디비치,[쿠션리필+블러시 증정] 비디비치 블랙 퍼펙션 커버 핏 쿠션 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233171,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023317133ko.jpg?l=ko,46000,36800,20.0,8287,4.7,83,11,4,1,1,0,1,1,1,A000000233171,ALL
2026-08-12,전체,27,메디힐,[양현종 PICK] 메디힐 마데카소사이드 수분 선세럼 흔적 리페어 50+50g 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232672,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023267248ko.jpg?l=ko,34900,22400,35.8,14575,4.9,90,8,1,0,0,1,1,1,1,A000000232672,ALL
2026-08-12,전체,28,메디힐,[8+1매 단독기획] 메디힐 하이퍼 겔마스크 4종 (콜라겐/PDRN/마데카소사이드/히알루론산),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000239102,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023910258ko.jpg?l=ko,36000,25200,30.0,48776,4.8,87,9,2,0,0,1,0,1,1,A000000239102,ALL
2026-08-12,전체,29,바이오더마,바이오더마 센시비오 H2O 850ml(클렌징워터),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130319,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0013/A00000013031984ko.jpg?l=ko,37500,25900,30.9,53308,4.9,91,7,1,0,0,1,0,0,1,A000000130319,ALL
2026-08-12,전체,30,VT,[1등선크림/끈적임ZERO] VT 피디알엔 에어 클라우드 선스크린 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000257580,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025758018ko.jpg?l=ko,26000,17500,32.7,9952,5.0,97,3,0,0,0,1,0,0,1,A000000257580,ALL
2026-08-12,전체,31,라운드랩,[더블/4년연속1등] 라운드랩 자작나무 수분 선크림 50ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171650,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A00000017165043ko.jpg?l=ko,37500,24500,34.7,23186,4.8,87,10,2,0,0,1,0,0,1,A000000171650,ALL
2026-08-12,전체,32,아누아,[수지세럼] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222698,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022269818ko.png?l=ko,58500,27500,53.0,13001,4.8,86,9,3,1,1,1,0,0,1,A000000222698,ALL
