수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-08-13,A000000232081,63684519,2026.08.03,5,0,NORMAL, ,A06,,"C01,C02",1,900.0,1,0,시나몬꼬북칩,"여드름 폭.발 해서 스트레스 너무 받고있었는데
기초제품을 제로이드로 싹 다 바꾸라는 이야기를 들었어요.
지푸라기라도 잡는 심정으로 제로이드 기초로 싹 다 바꿨는데 일단 한달은 꾸준히 써보려규요

1. 제로이드 젤 클렌저
너무 순한데 세정력은 또 좋아요.
원래 저는 썬크림 바르고 클렌징 오일로 세안하곤 했는데
이번에 이지워시 썬크림으로 바꾸면서 
클렌징 오일이 아닌 젤 클렌저-폼클렌저
이렇게 쓰는데 순해서 잘 지워지고 좋아요.

2. 제로이드 폼클렌저
제 주변 꿀피부인 사람들은 다 이거 쓰더라구요.
원래는 그냥 폼클렌징을 사용했는데 확실히 뽀득? 이런 느낌은 없지만 순한데 잘 지워진다는 느낌은 있어요.
그리고 사용한 뒤에 건조함이 없습니다.
그렇다고 기름기가 도는건 아닌데 좋아요.

3. 이지워시 썬크림
기존에 저는 톤업 썬크림이랑 무기자차 썬크림 이렇게 2가지를 레이어해서 쓰곤 했는데요.
이번에 기초템 바꾸면서 썬크림도 바꿨어요.
일단 순합니다.
왜 아이들도 함께 쓰는 줄 알 것 같아요.
눈 시림 이런것도 없어요. 단점이라면 이지워시라서
여름철에 땀 폭.발하고 나면 썬크림이 좀 지워진 느낌이 들긴 들어요.
그래서 늘 상비하면서 계속 덧발라줘야할 것 같아요.
원래 썬크림은 2시간마다 발라줘야하는거 아시죠?
뭐 겸사겸사 순한 썬크림 2시간마다 덧바르니까 좋죠!

이번에 라이브 방송을 통해서 저렴하게 구매했는데
굉장히 만족하고 있고 일단 한달 내내 써보고 제 피부가 원래대로 돌아온다면 본사 향해 큰절 올리고 꾸준히 사용하게 될 것 같습니다.

주변에서 제로이드 찬양하는데 아직까진 저도 만족하면서 쓰고 있어요.
제 피부가 원래대로 돌아온다면 저도 찬양하는 사람 중 1인이 되겠죠?!^^"
2026-08-13,A000000232081,64140291,2026.08.13,4,0,NORMAL,포밍클렌저 본품,A03,B04,,0,792.0,1,0,0x0,"자극없이 순하다고 해서 한번 구매해봤어요
확실히 순한듯 아침세안용으로 좋아요"
2026-08-13,A000000232081,63773927,2026.08.05,5,0,NORMAL,포밍클렌저 본품,,,,1,756.0,1,0,Kk,세정력도 좋고 자극 없어서 피부가 편안해요 대용량도 있었르면
2026-08-13,A000000232081,63684515,2026.08.03,5,0,NORMAL, ,A06,,"C01,C02",0,540.0,1,0,시나몬꼬북칩,"여드름 폭.발 해서 스트레스 너무 받고있었는데
기초제품을 제로이드로 싹 다 바꾸라는 이야기를 들었어요.
지푸라기라도 잡는 심정으로 제로이드 기초로 싹 다 바꿨는데 일단 한달은 꾸준히 써보려규요

1. 제로이드 젤 클렌저
너무 순한데 세정력은 또 좋아요.
원래 저는 썬크림 바르고 클렌징 오일로 세안하곤 했는데
이번에 이지워시 썬크림으로 바꾸면서 
클렌징 오일이 아닌 젤 클렌저-폼클렌저
이렇게 쓰는데 순해서 잘 지워지고 좋아요.

2. 제로이드 폼클렌저
제 주변 꿀피부인 사람들은 다 이거 쓰더라구요.
원래는 그냥 폼클렌징을 사용했는데 확실히 뽀득? 이런 느낌은 없지만 순한데 잘 지워진다는 느낌은 있어요.
그리고 사용한 뒤에 건조함이 없습니다.
그렇다고 기름기가 도는건 아닌데 좋아요.

3. 이지워시 썬크림
기존에 저는 톤업 썬크림이랑 무기자차 썬크림 이렇게 2가지를 레이어해서 쓰곤 했는데요.
이번에 기초템 바꾸면서 썬크림도 바꿨어요.
일단 순합니다.
왜 아이들도 함께 쓰는 줄 알 것 같아요.
눈 시림 이런것도 없어요. 단점이라면 이지워시라서
여름철에 땀 폭.발하고 나면 썬크림이 좀 지워진 느낌이 들긴 들어요.
그래서 늘 상비하면서 계속 덧발라줘야할 것 같아요.
원래 썬크림은 2시간마다 발라줘야하는거 아시죠?
뭐 겸사겸사 순한 썬크림 2시간마다 덧바르니까 좋죠!

이번에 라이브 방송을 통해서 저렴하게 구매했는데
굉장히 만족하고 있고 일단 한달 내내 써보고 제 피부가 원래대로 돌아온다면 본사 향해 큰절 올리고 꾸준히 사용하게 될 것 같습니다.

주변에서 제로이드 찬양하는데 아직까진 저도 만족하면서 쓰고 있어요.
제 피부가 원래대로 돌아온다면 저도 찬양하는 사람 중 1인이 되겠죠?!^^"
2026-08-13,A000000238525,64138707,2026.08.13,5,1,OFFLINE,"본품 1,000ml",A01,B02,"C05,C08",13,5100.0,1,0,예진이린,"31살 인생 등드름이랑 이제 진짜 안녕!!


홈케어로 결국 다 잡았다 진짜ㅠ
따지고 보면 1년은 넘게 걸린 것 같은데
제대로 붙잡고 관리한 건 한 3~4개월 정도?


등드름 스트레스는 겪어본 사람만 알 거임...ㅜㅜ


가만히 안 두고 자꾸 옆으로 번지는 거
이거 진짜 사람 미치게 함...


새똥만 하게 하나 올라오면
짜버리고 싶은데 흉터 남을까 봐 참고
그냥 두자니 하루종일 신경 쓰이고....


시간 지나면서 어느새 어깨까지 번지고
흉터까지 하나둘 남아서
작년엔 집 아니면 나시 입어본 적도 없음...


몸 어디 문제 있나 싶어서
병원 가서 이소티논도 받아먹어봤는데
그것도 저한테는 별 소용없고 부작용만 와서
결국 홈케어로 꾸준히 관리했어요.


등드름에 좋다는 바디워시도 여러 개 써봤는데
그중에서 제가 제일 만족했던 게
바이오가 등드름 바디워시였음.


일단 순한 게 제일 마음에 들었어요.
향으로 바디워시 고르는 분들도 있겠지만
저 같은 등드름 유목민한테는
일단 트러블이 덜 올라오는 게 제일 중요함ㅋㅋ

여러 개 사서 일주일씩 나눠 써봤는데
저는 바이오가가 제일 잘 맞아서
지금까지 계속 이것만 쓰는 중이에요.



물론 바디워시 하나로
등드름이 다 없어졌다고 생각하진 않아요.


흉터가 진짜 더 골치였어서
이것도 같이 관리해야겠다 싶어서
샤워 후 등이로움 더마크림도 발라주고
일주일에 한 번 정도 스크럽도 같이 했어요.



그러니까 3~4주쯤 지나니까
거울 볼 때마다 조금씩 나아지는 게 보이더라고요!


등드름은 줄어들어도
흉터는 또 쉽게 안 없어져서 스트레스였는데
같이 관리하니까 전보다 확실히 나아진 느낌.


필링 시술도 알아봤었는데
살 벗겨지는 거 보고 쫄보라 결국 포기함ㅋㅋ




제 루틴 정리하면

1. 바이오가로 하루 2번 씻고
2. 샤워 후 등이로움 더마크림 바르고
3. 일주일에 한 번 정도 각질 관리!


정답은 아니지만
저한테는 이 조합이 잘 맞았던 듯해요.


친구도 등드름 생겼다길래 추천해줬는데
효과 봤다고 치킨 쿠폰까지 받음ㅋㅋ


나시도 오프숄더도
조금은 자신 있게 입어볼 수 있을 것 같아요.


다만 가격은 살짝 부담됨...
올영 세일할 때만 겨우 사는 중인데
평소 가격도 조금만 내려가면 좋겠음ㅠ


후기 도움 됐다면 좋아요 한 번만 눌러주세요!
올해는 다 같이 등드름 없는 여름 보내자구요ㅋㅋ"
2026-08-13,A000000209913,64163531,2026.08.13,5,1,OFFLINE, ,,,,0,1512.0,1,0,제뜨,무기자차 선크림이 피부에 좋다고 해서 구매했어요. 다른 무기 자체에 비해 백탁이 적고 발림성이 괜찮은 편이에요 잘 지워집니다
2026-08-13,A000000209913,63684512,2026.08.03,5,0,NORMAL, ,A06,,"C01,C02",0,540.0,1,0,시나몬꼬북칩,"여드름 폭.발 해서 스트레스 너무 받고있었는데
기초제품을 제로이드로 싹 다 바꾸라는 이야기를 들었어요.
지푸라기라도 잡는 심정으로 제로이드 기초로 싹 다 바꿨는데 일단 한달은 꾸준히 써보려규요

1. 제로이드 젤 클렌저
너무 순한데 세정력은 또 좋아요.
원래 저는 썬크림 바르고 클렌징 오일로 세안하곤 했는데
이번에 이지워시 썬크림으로 바꾸면서 
클렌징 오일이 아닌 젤 클렌저-폼클렌저
이렇게 쓰는데 순해서 잘 지워지고 좋아요.

2. 제로이드 폼클렌저
제 주변 꿀피부인 사람들은 다 이거 쓰더라구요.
원래는 그냥 폼클렌징을 사용했는데 확실히 뽀득? 이런 느낌은 없지만 순한데 잘 지워진다는 느낌은 있어요.
그리고 사용한 뒤에 건조함이 없습니다.
그렇다고 기름기가 도는건 아닌데 좋아요.

3. 이지워시 썬크림
기존에 저는 톤업 썬크림이랑 무기자차 썬크림 이렇게 2가지를 레이어해서 쓰곤 했는데요.
이번에 기초템 바꾸면서 썬크림도 바꿨어요.
일단 순합니다.
왜 아이들도 함께 쓰는 줄 알 것 같아요.
눈 시림 이런것도 없어요. 단점이라면 이지워시라서
여름철에 땀 폭.발하고 나면 썬크림이 좀 지워진 느낌이 들긴 들어요.
그래서 늘 상비하면서 계속 덧발라줘야할 것 같아요.
원래 썬크림은 2시간마다 발라줘야하는거 아시죠?
뭐 겸사겸사 순한 썬크림 2시간마다 덧바르니까 좋죠!

이번에 라이브 방송을 통해서 저렴하게 구매했는데
굉장히 만족하고 있고 일단 한달 내내 써보고 제 피부가 원래대로 돌아온다면 본사 향해 큰절 올리고 꾸준히 사용하게 될 것 같습니다.

주변에서 제로이드 찬양하는데 아직까진 저도 만족하면서 쓰고 있어요.
제 피부가 원래대로 돌아온다면 저도 찬양하는 사람 중 1인이 되겠죠?!^^"
2026-08-13,A000000260580,63865176,2026.08.07,4,0,NORMAL, ,A03,B01,"C01,C03",3,1800.0,0,0,젣니,"ㅌㄹ블피부 추천 크림이라고 하길래 샀는데요, 제가 모낭염이 심할때 사봤어요. 모낭염은 피지를 먹고 사는 균이라 유분기가 없는걸 써야한대서..근데 이 크림은 제형은 일반 제로이드 크림보다 조금ㅁ 꾸덕한데 확실히 유분기가 없어요. 대신 그래서 저같은 속건조 심한 사람에게는 여름에도 좀 건조해요. 피부 겉이 건조함. 그래도 유분기가 많이 안 도는 건 좋습니다.
근데 이거 쓰고 ㅌㄹ블이 없어지거나 모낭염이 줄어들지는 않앗어요.."
2026-08-13,A000000260580,64121847,2026.08.12,5,0,NORMAL, ,A02,B01,"C02,C04",1,720.0,1,0,속보습어케채움,"여러분이거개젛아요모두당장사세요이거한달쓰고여드름다들어갓어요 지성분들도 조금씩 바르면 좋을거에요 진짜 이거 피부과에서도 ㅊㅊ하는크림이에요 저 이번에 화상입엇는데 이 크림으로 상처관리하고 시간될때 피부과 갓는데 피부과의사님이 칭찬해주셧어요 진짜 보습, 진정 두개 다 잡는 ㄹㅈㄷ 크림입니다 여러분 당장사세요 이거 올영에 8월달만 잇는걸로아는데 세일할때 사세요 원래 한개당 3만원정도하는데 지금은 미니크림이랑 토너까지 해서 이가격이니까 ㄹㅇ ㄹㅈㄷ 혜자에요 진짜 얼른 사세요 건성 진짜로 ㅊㅊ합니다 지성분들은 유분기잇다고느껴질거같긴해요ㅠ 그래도 ㅈㅁ 좋으니까 사서 한달 꾸준히 써보세요 피부 ㄹㅈㄷ 좋아져요 근데 요철이나 모공축소 이런 기능을 노린 크림이 아니라서 그런쪽을 원하시는분들은 다른거사세여~ 여드름없어지고 피부 좋아져서 피부 커버 안하고 톤업용으로 쿠션쓰고잇서여(주근깨 ㅉ)"
2026-08-13,A000000260580,63973021,2026.08.09,5,1,OFFLINE, ,A02,B01,"C05,C08",0,660.0,1,0,후유니,"제로이드 말해뭐해 믿고 써요 항상!
여름철 울긋 불긋한 피부에 도움이 되서 항상 잘 발라줍니다"
