수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-08-20,A000000223414,61974101,2026.06.27,5,1,OFFLINE,비타민씨 잡티토닝 1매,A03,B02,C09,44,3978.0,1,0,복똥이야,"메디힐 에센셜 마스크팩 
비타민씨 잡티토닝 미백에 좋아요 ~"
2026-08-20,A000000223414,61974099,2026.06.27,5,1,OFFLINE,콜라겐 코어탄력 1매,A03,B02,C09,43,3978.0,1,0,복똥이야,"메디힐 에센셜 마스크팩 
콜라겐 코어탄력 촉촉하니 좋아요 ~"
2026-08-20,A000000223414,61974097,2026.06.27,5,1,OFFLINE,마데카소사이드 흔적리페어 1매,A03,B02,C09,43,3978.0,1,0,복똥이야,"메디힐 에센셜 마스크팩 
마데카소사이드 흔적리페어 흔적케어에 좋아요 ~"
2026-08-20,A000000223414,61974094,2026.06.27,5,1,OFFLINE, 티트리 진정수분 1매,A03,B02,C09,44,3978.0,1,0,복똥이야,"메디힐 에센셜 마스크팩 
티트리 진정수분이라서 피부진정에 좋아요"
2026-08-20,A000000223414,64244782,2026.08.15,5,0,NORMAL,마데카소사이드 흔적리페어 1매,A01,B01,"C03,C04",5,3672.0,1,1,올리뷰과몰입,"따갑거나 빨개지지않아서 일단 좋구요
데일리로 냉장고에 차갑게해서 붙히면
하루피곤이 사르르륵 녹는 기분이랄까
ㅋㅋ 너무 좋음!!"
2026-08-20,A000000223414,63796511,2026.08.06,5,1,OFFLINE,마데카소사이드 흔적리페어 1매,A03,B01,"C01,C02",6,3294.0,0,0,영수찡,사실 엄청 크나큰 효과가 있지는 않고 걍 촉촉하고 좋움 가격두 저렴하구
2026-08-20,A000000223414,64378869,2026.08.18,5,0,NORMAL,마데카소사이드 흔적 리페어 10+1매,A02,B01,"C03,C08",2,3240.0,1,0,몽몽냥냥,"외국인 친구 선물로 뭐가 좋을까 보다가 한국하면 K-뷰티 그리고 마스크팩 좋아해서 올영에 마스크팩도 워낙에 다양하게 있어서 보다가 역시나 메디힐 브랜드 기초라인도 너무 잘 나오고 해서 믿고 마스크팩 구매했어요. 

종류도 다양해서 보다가 마데카소사이드 흔적 리페어 10개에+1개 더 주는 구성이라서 이걸로 구매했어요. 비건인증 완료에 독일 더마테스트 인증 완료까지 마스크팩 잘 못하면 피부에 더 자극이 되거나 하는데 시트부터 해서 안에 내용물은 믿고 사용할 수 있고 저자극이라 민감한 피부에도 안심하고 사용 할 수 있어서 선물용으로도 좋은거 같아요. 

건조한 피부에 수분감도 제대로 주고 잡티에 피부 진정까지 도움을 주니 홈케어로 이만한게 없죠. 선물 주니 역시나 반응 좋고 한국 마스크팩 최고라고 인정 해주네요. 먹거리랑 함께 메디힐 마스크팩 선물 성공적이었어요."
2026-08-20,A000000223414,64205225,2026.08.14,5,0,NORMAL,마데카소사이드 흔적 리페어 10+1매,A04,B06,"C05,C08",4,2952.0,0,0,0ㅅ0,"트러블이 잠재워진 뒤에 그 자리에 흔적이 생길까 봐 걱정될 때 사용하기 좋아요
마데카소사이드 성분이 함유되어 있어 민감성 피부는 물론 모든 피부가 사용하기 좋은 마스크팩입니다"
2026-08-20,A000000255256,64286864,2026.08.16,1,1,OFFLINE,902 비지코랄,A03,B02,"C06,C09",5,3300.0,1,0,히요코만주,"로지하이로 많은 공감을 해주셔서 내친김에 비지코랄도 실험하고(?) 써봅니다.

사실 이걸 샀을때는 샤*이 전국 품절대란이라… 
사고싶었는데 이 라카에 대해 유튜버들이 극찬+소량이라 자꾸 엄청 빨리 매진되는 마케팅+군중심리에 샀는데

화장 전&gt;립베이스&gt;후&gt;덜어냄&gt;바름&gt;글로스 바름&gt;밥먹고&gt;클렌징까지 과정입니다
- 일단 블러립이 될수가 없음용..그냥 덜마른 페인트처럼 계속 지속되어서 매트블러립은 절대 안되고
- 극! 소량 (이정도 덜어야 덜 촌스러운 풀립 됩니다)
- 글로스 팁도 별로지만 마르지도 않아서 글로스 브러쉬는 오염되겠구나 싶음..
- 밥먹고 찍었는데 지워지지는 않으나 얼룩덜룩 해지는게 문제..
- 세시간 외출 뒤(수정화장x) 물틴트에 특화된 리무버로 지웠는데 이만큼이나 지워지지만 왜때문에 얼룩덜룩한지..ㅎㅎ
- 샤ㄴ 은 수졍화장이 굉장히 쉬운편인데 얘는 그냥 싹 다 지우고 해야합니다.

-어쨌든 두개나 있으니 꾸역꾸역 쓰겠지만..언젠가는 다시 ㅅ ㅑㄴ 로 갈아탈거 같아요"
2026-08-20,A000000255256,64282721,2026.08.16,5,0,NORMAL,902 비지코랄,A03,B03,"C01,C06",1,2520.0,1,0,배뽀,"🩷구매이유
전부터 타사 브랜드 이런 제품을 사고 싶었는데 너무 비싸기도 하고 계속 품절이더라구요ㅠ 근데 이번에 라카에서 비슷한 제품이 나왔길래 품절 풀리자마자 바로 구매했습니다!!

🩷발색
상세페이지만 보고 구매한거라 혹시 다르면 어쩌지 하고 걱정했는데 거의 비슷하고 실물이 훠어ㅓ얼씬 예뻐요!! 생각 이상으로 만족스러운 약간의 오렌지 코랄 컬러라 웜톤이라면 예뻐하지 않을수가 없는 컬러에요🥹🫶🏻

🩷발림성
매트한 제형이라 손가락이나 면봉으로 블렌딩을 해줘야 하는데 너무 빠르게 픽싱되지 않는 덕분에 편하게 펴 바를 수 있어서 좋고 글로우는 끈적이지 않고 촉촉하게 발린답니당😆

🩷지속력
제가 구매한 컬러는 옅은 컬러라 하루종일 지워지지 않고 이건 아니지만 뭐 먹기 전까지는 글로우도 안지워지고 일반 틴트보다 확실히 지속력이 좋아요!

넘 만족스러워서 다른 진한 컬러도 품절 풀리면 구매하려고 합니다🙈"
2026-08-20,A000000217511,63985108,2026.08.09,4,0,NORMAL,(보습장벽)무화버터+머그트리 미니 기획,A03,B02,"C02,C03",1,1674.0,1,0,로얄밀크티,리뷰나 설명에 혹해서 구입했어요 ㅋㅋ 우선 무난템이구 향 쏘쏘합니다 ㅋㅋ
2026-08-20,A000000217511,63985273,2026.08.09,4,0,NORMAL,(속광탄력)유자몽+무화버터 미니 기획,A03,B02,"C02,C03",0,1134.0,1,0,로얄밀크티,리뷰에 혹해서 구입했어요 ㅋㅋ 무난하고 쏘쏘합니다 ㅋ이벤트도 해서 굿굿
2026-08-20,A000000217511,63740712,2026.08.04,5,0,NORMAL,(보습장벽)무화버터+머그트리 미니 기획,A03,B02,"C01,C02",2,900.0,0,0,모모와인절미,"휩드 팩클 중에 제일 마음에 들었어요.
세가지 꾸준히 써봤는데 머그트리는 너무 저의 유분기 다 뽑아가는 느낌+ 자극적이라 별로였고 유자몽은 촉촉 좋긴한데 세정력이 그닥인 느낌이었어요.

무화버터는 적당히 모든 요소를 충족시켜줬어요.
세정력도 상당하고 너무 자극적이지 않고 건조하지 않았음!

그리고 제형이 꾸덕한 덕에 거품이 엄청 풍성하게 나서 좋았고 흐르지 않아서 작은통에 담아서 여행갈 때 너무 좋았습니다.
재구매 의사 완전 있을유!"
2026-08-20,A000000217511,64339519,2026.08.17,5,0,NORMAL,(톤업결케어)피치페어+피치페어 미니 기획,A03,,"C02,C03",0,792.0,1,0,겨므댕,"팝업 할때 써보고 지금 폼 클렌징 다 써서 구매했는데
미니 증정도 하고 순하고 자극 없이 클렌징 할수 있어서
좋아요! 향도 피치향이라 너무 좋고 쫀쫀합니다:-)
너무 만족해요!"
2026-08-20,A000000217511,64349184,2026.08.17,4,0,NORMAL,(모공세정)머그트리+유자몽 미니 기획,,,,0,660.0,1,0,올리vl아,향이 좋습니다 세정력이 강하지는 않은 것 같아서 좀 아쉽습니다
