수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,대표이미지URL,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-08-08,전체,1,메디힐,[15년 연속 1위] 메디힐 에센셜 마스크팩 10/10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A000000223414117ko.jpg?l=ko,20000,10000,50.0,468630,4.9,91,7,2,0,0,1,0,0,1,A000000223414,ALL
2026-08-08,전체,2,파티온,(하루특가) 파티온 노스카나인 트러블 세럼 50ml 대용량 기획(+리필40ml+크림10ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000229517,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022951706ko.jpg?l=ko,54000,29900,44.6,76267,4.9,92,5,2,0,0,1,1,1,1,A000000229517,ALL
2026-08-08,전체,3,메디힐,[업그레이드 리뉴얼/단독기획] 메디힐 더마 패드 200매 대용량 기획 세트 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171427227ko.png?l=ko,39900,28900,27.6,78092,4.8,85,10,3,1,1,1,0,0,1,A000000171427,ALL
2026-08-08,전체,4,넘버즈인,[8월올영픽/10매] 넘버즈인 마스크팩 10매 기획 2종 중 택 1 (1번/4번),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205979,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020597954ko.jpg?l=ko,40000,16900,57.8,153240,4.8,88,8,3,1,0,1,1,0,1,A000000205979,ALL
2026-08-08,전체,5,어노브,[4년 연속 1위] 어노브 딥 데미지 리페어 헤어 마스크 (트리트먼트/헤어팩) 320ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171423164ko.png?l=ko,42000,29800,29.0,88450,4.9,89,8,2,0,0,1,0,0,1,A000000171423,ALL
2026-08-08,전체,6,프롬랩스,[8월올영픽/한정기획] 프롬랩스 단백질 흡착 트리트먼트 200ml 더블기획 (1회 만에 손상모 개선),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000239676,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023967635ko.png?l=ko,37500,26900,28.3,2511,4.9,92,5,2,0,0,1,1,0,1,A000000239676,ALL
2026-08-08,전체,7,딜라이트 프로젝트,[8월올영픽]딜라이트 프로젝트 단백질쉐이크 모음전(1개입/7개입/통),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231574,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023157448ko.jpg?l=ko,3900,3600,7.7,148578,4.8,89,7,3,1,0,0,1,0,1,A000000231574,ALL
2026-08-08,전체,8,비플레인,[8월올영픽/2천만돌파]비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260522,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026052209ko.jpg?l=ko,26000,23500,9.6,18142,4.9,89,8,2,0,0,1,1,1,1,A000000260522,ALL
2026-08-08,전체,9,웰라쥬,[8월올영픽] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+60ml 리필+수딩크림 30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026142332ko.jpg?l=ko,50000,29500,41.0,17918,4.8,89,8,2,0,0,1,1,0,1,A000000261423,ALL
2026-08-08,전체,10,에스트라,[올영 어워즈 1등 크림] 에스트라 아토베리어365 크림 80ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198320,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019832009ko.jpg?l=ko,33000,25900,21.5,7201,4.8,89,8,2,1,1,1,1,1,1,A000000198320,ALL
2026-08-08,전체,11,달바,[생기톤업/스웨트프루프] 달바 핑크 톤업 선크림 듀오 기획 (50ml+50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232725,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023272527ko.png?l=ko,51000,34900,31.6,12225,4.8,89,8,2,0,0,1,1,0,1,A000000232725,ALL
2026-08-08,전체,12,헤트라스,[단독선런칭/올영픽] 헤트라스 고체탈취제 300g 2개입 5종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261741,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026174110ko.jpg?l=ko,18800,18000,4.3,248,5.0,97,2,2,,,1,1,0,1,A000000261741,ALL
