수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,대표이미지URL,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-09-13,전체,1,어노브,[4년 연속 1위] 어노브 딥 데미지 리페어 헤어 마스크 (트리트먼트/헤어팩) 320ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171423173ko.jpg?l=ko,42000,27900,33.6,93341,4.9,90,8,2,0,0,1,1,0,1,A000000171423,ALL
2026-09-13,전체,2,아누아,[9월 올영픽/산리오캐릭터즈 콜라보] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블기획(+시나모롤 파우치),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262602,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026260213ko.png?l=ko,57500,27000,53.0,23917,4.8,85,10,4,1,1,1,1,0,1,A000000262602,ALL
2026-09-13,전체,3,메디힐,[15년 연속 1위] 메디힐 에센셜 마스크팩 10/10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A000000223414125ko.png?l=ko,20000,10000,50.0,504474,4.9,91,7,2,0,0,1,0,0,1,A000000223414,ALL
2026-09-13,전체,4,닥터지,[보송톤업] 닥터지 브라이트닝 업 선 플러스 50ml 기획 2종 (50+20/50+50+10) (선크림),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180158,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018015832ko.jpg?l=ko,32000,22220,30.6,14082,4.8,85,12,2,0,0,1,1,0,1,A000000180158,ALL
2026-09-13,전체,5,노노어,노노어 오버 듀 립펜슬 11Colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209350,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020935041ko.jpg?l=ko,15000,12900,14.0,7754,4.7,81,13,5,1,1,1,0,0,1,A000000209350,ALL
2026-09-13,전체,6,라로슈포제,[9월 올영픽/손상장벽집중케어]라로슈포제 시카플라스트밤 B5+ 100ml 기획 (+시카에센스7.5ml+히알루세럼3ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263009,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026300906ko.jpg?l=ko,41000,29700,27.6,34848,4.8,87,9,3,1,1,1,1,1,1,A000000263009,ALL
2026-09-13,전체,7,달바,[26년 신형/보습광채] 달바 퍼스트 스프레이 세럼 펩타이드 100ml 더블기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259555,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025955524ko.png?l=ko,59800,33500,44.0,55231,4.9,91,7,2,0,0,1,1,0,1,A000000259555,ALL
2026-09-13,전체,8,플라이밀,플라이밀 단백질쉐이크 45g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190168,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019016820ko.jpg?l=ko,3900,3900,0.0,114428,4.8,87,9,3,1,1,0,0,0,1,A000000190168,ALL
2026-09-13,전체,9,에스트라,[1등크림] 에스트라 아토베리어365 크림 80ml 기획(+토너25ml+클렌징폼3g*3EA),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261864,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026186405ko.jpg?l=ko,33000,26700,19.1,40067,4.9,90,7,2,0,1,1,1,0,1,A000000261864,ALL
2026-09-13,전체,10,메디힐,[산리오캐릭터즈 에디션] 메디힐 더마 토너패드 100+100매 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262413,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A000000262413244ko.png?l=ko,39900,28500,28.6,83330,4.8,86,10,3,1,1,1,1,0,1,A000000262413,ALL
