수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-09-02,A000000262614,62693235,2026.07.12,5,0,NORMAL,어성초 진정 마스크(5+1매),A06,B03,"C02,C03",20,1098.0,1,0,새루의하루,"고양이가 베개로 쓰는 중 ㅠㅋㅋ

개인적으로 너무 좋아하는 팩이라 여러개 쟁여놓고 쓰는중인데요❗️
이상하게 울집 고양이들이 이 마스크팩 박스를;; 너무 좋아해요;;; 

고양이 2호 (딱딱한 베개 선호) 취침시 매우 잘 쓰고있는중 …"
2026-09-02,A000000263055,65513142,2026.09.02,5,0,NORMAL, ,A03,B02,C09,0,792.0,1,0,숩숩9264,"라이브할때 사서 벌써 도착!
라이브가, 쿠폰, 카카오페이 할인까지 먹여서 500미리 4개에 57,160원 주고 구입."
2026-09-02,A000000202777,65438040,2026.09.01,5,0,NORMAL,[단독]15C2+미니블러셔+프렙+퍼프1p,A03,B04,"C01,C02",5,1800.0,1,0,malangv,"여름 쿨 뮤트 15-17호
하얗지만 홍조/착색 있는 피부
모공부자 복합성 수부지 피부

지금까지 블쿠만 6통 사용 후 이번 새로 출시된 컬러 매우 마음에 듭니다!
21N 실패 (매우 어둡고 노란색으로 발색)
17N 실패 (어둡고 노란색으로 발색 )
13N 2통째 사용중이다가 (밝기는 맞는데 뭔가 제 피부에는 뉴트럴 톤이 약간 칙칙? 쎄해보이는? 느낌이 늘 있었음)
그래서 15C2 나온 소식 듣고 구매했어요!

상세설명에 핑크빛 심하지 않다고 했는데
핑크빛 보다는 약간 주황빛?으로 발색돼서 이 부분이 좀 아쉽지만..
막상 얼굴에 올리니 나니 꽤 만족합니다!
약간 주홍빛 도는 채도감이 좀 더 빠졌으면 더 자연스럽고 예뻤을 것 같아요!
그렇다고 얼굴 발랐을 때 강한 채도는 아니예요!
쿨톤 피부이면 색감이 자연스럽게 스며들 것 같습니다!

사진 왼쪽부터 15C2 / 13N / 17N
보정 없는 아이폰 17 카메라로 찍은 사진입니다!

밝기는 13N 가장 밝긴 합니다만
확실히 15C2가 얼굴 생동감, 입체감 표현에는 더 예쁜 것 같아서
저는 15C2로 당분간 정착할 것 같습니다!
아 그리고 뭔가 제형이 더 좋아진 것 같은 느낌인데.."
2026-09-02,A000000202777,65332738,2026.09.01,5,0,NORMAL,[기획] 21N1(본품+리필),A03,B03,"C01,C03",1,1080.0,0,0,혱양,"헤라 블랙쿠션을 쓰면서 나의 성공시대 시작됐다🖤

왜 유명템이고, 왜 정착템이고 왜 찬양론자가 많은지 납득이 되는 제품력입니다.

저는 복합성이지만 여름에 정말 화장이 잘 무너져요…
베이스 프렙, 픽서를 뿌려도 소용이 없었습니다
다른 계절에 잘 쓴 쿠션이나 일부러 매트하고 픽싱 빠른 쿠션을 발라도 여름에는 소용이 없었어요 다 못생기게 무너졌어요

그러나 헤라의 블랙쿠션은 제 손을 놓지 않고 오히려 꽉 잡아주었습니다.

커버력 상(모공 커버도 굿), 픽싱 꽤 빠르고요, 무너짐 거의 없고, 무너져도 예쁘게 무너집니다!

21N 컬러는 딱 21호인 분들이 자연스럽게 바르기 좋은 색이에요. 저는 얼굴에 홍조도 조금 있고 전반적으로 누런 피부라서 N으로 샀습니당!

백화점 입점템인 만큼 가격은 살짝 주춤하게 되지만, 사실 저렴한 쿠션 여러 개 사서 실패할 바에 블랙쿠션 하나 사서 정착하면 그게 오히려 갓성비고 합리적 소비 아닌가요?

오랫동안 헤라 블랙쿠션 사라고 영업한 친언니에게 미안하고 고맙읍니다.
이제서야 입문하게 되었다는 사실이 슬프지만 늦게 입문한 만큼 오랜 시간 함께하겠습니다~♡"
2026-09-02,A000000202777,65211046,2026.08.31,5,0,NORMAL,[단독]15C2+미니블러셔+프렙+퍼프1p,,,,4,984.0,0,0,도로리,헤라가 지속력은 진짜 대박이에요 17C1을 써도 노란기가 다분했는데 이번꺼는 좀 다른것같아요!
2026-09-02,A000000263562,64784058,2026.08.26,5,1,GIFT,50ml (+35ml),A04,B01,"C05,C08",7,5400.0,0,0,돌이둘이굴이,"- 맨 피부에 바르는 것보다는 토너를 바른 후에 피부결 정돈된 상태에서 바르는게 좋을 것 같음 

- 기름기가 1도 없는 건조한편임 바르고 난 후 흡수되면 아무것도 안바른것같은 느낌도 들긴 함

- 보습은 크림단계에서 챙겨줘야할것같음 가벼운 제형이라 토너도 크림토너나 에멀전 사용하면 왠지 흡수안될것같아서 항상 물토너 사용했음(바이오힐보 제품 사용)"
2026-09-02,A000000263562,63904082,2026.08.08,5,0,NORMAL,50ml (+35ml),A03,B06,"C01,C03",7,3060.0,1,0,통장털어찐템찾기,"구달 청귤세럼은 민감성인 제 피부에도 순헤서 잘 쓰고있는 세럼이에요 흡수도 잘 되고 촉촉하게 발리고 꾸준히 발라주면 확실히 피부가 맑아지는 느낌이에요!
바르고 나면 은은한 광이 올라와서 피부표현도 이쁘게 보이고 끈적임도 없어서 데일리로 잘 바르는 템이에요"
2026-09-02,A000000263562,64085941,2026.08.11,5,1,GIFT,50ml (+35ml),A01,B01,C08,6,2340.0,0,0,윤교동,"총정리 한줄평 : 뽀송한 미백세럼이에욤

후기 : 엄청 가벼운 텍스쳐예용 마무리감도 가벼워서 산뜻했어용 아침이나 저녁이나 아무때에 사용하기좋았어용 이거 되게오래썼는데 피부톤이 밝아진다기보단 균일해지는 느낌?

재구매 : 고민좀해야할것같아용 만족하긴 했는데 다른앰플도 써보고싶움

도움되셨다면 좋아요 부탁드립니다 &#039;_&#039; ❣"
2026-09-02,A000000263562,63844219,2026.08.07,5,0,NORMAL,50ml (+35ml),A03,B03,"C01,C05",5,2340.0,1,0,잴리탱,"🍋청귤 라인 특유의 맑은 피부톤 케어
🍋 끈적임 없이 산뜻한 흡수감
🍋50ml + 35ml 기획 구성으로 넉넉한 용량

구달 청귤 마스크팩을 정말 좋아해서 꾸준히 사용하고 있었는데 같은 라인의 세럼도 써보니 왜 베스트셀러인지 알겠더라고요!

보통 세럼 30ml 정도인 경우가 많은데 이건 50ml에 35ml까지 더 들어 있는 기획 세트라 아낌없이 듬뿍 바를 수 있어서 더 좋아요 ㅎㅎ

비타민 세럼인데도 끈적임이 거의 없고 흡수가 빨라서 아침, 저녁으로 부담 없이 사용하기 좋았고 바를수록 피부가 촉촉하면서도 맑아지는 느낌이 들었어요! 꾸준히 사용하니 피부톤이 한층 환해 보이는 것 같아서 요즘 가장 손이 많이 가는 세럼입니다 ㅎㅎ 왜 올영 1등 미백세럼으로 떴는지 알 것 같아요👍🏻

평소 향이 강한 화장품은 선호하지 않는 편인데 이 제품은 은은한 청귤의 상큼한 향이 기분 좋게 느껴져서 사용할 때마다 산뜻한 기분이 들어요✨

개인적으로는 청귤 마스크팩과 함께 사용했을 때 피부가 더 맑고 생기 있어 보이는 느낌이라 시너지 효과를 제대로 느끼고 있습니다! 잡티와 칙칙한 피부톤이 고민이라면 꾸준히 사용해보기 좋은 비타민 세럼이라 추천하고 싶어요💛"
2026-09-02,A000000263562,65525277,2026.09.02,5,0,NORMAL,  [산리오] 리필 기획 (+피규어),,,,0,1800.0,1,0,rudghk0815,폼폼푸린 너무귀여워!!!! 마그넷 피규어 보자마자 냅다 구매질러버렸어요 느므 귀여워 가방에 달고다닐테야  구달비타민씨 세럼 워낙 유명해서 채연이가 광고할때 구매햇엇는데 저는 조금 자극이 느껴졌었는데 한여름에는 피부가 자극받기 쉬워서 한번더 도전해 보기로함 이번엔 자극없이 잘쓰면 좋겟당
