수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-08-16,A000000261742,64081713,2026.08.11,5,0,NORMAL, ,A01,B01,"C01,C02",28,21960.0,1,0,푸딩러버,"피부가 예민해졌을 때 진정용으로 사용하려고 구매했는데 생각보다 마음에 들어요. 세럼이라 너무 무겁거나 답답하지 않고 촉촉하게 발려서 데일리로 사용하기 좋았어요. 피부에 부드럽게 펴 발리고 끈적임도 심하지 않아서 아침저녁으로 부담 없이 바를 수 있네요. 요즘 피부가 쉽게 붉어지고 컨디션이 들쑥날쑥했는데 사용하니까 피부가 한결 편안해진 느낌이네요. 마데카소사이드 들어간 제품이라 진정 케어가 필요할 때 사용하기 좋았고, 세안 후 토너 다음 단계에 발라주면 촉촉함도 잘 유지되는 편이에요. 50mL가 두 개 들어 있는 기획 구성이라 넉넉하게 사용할 수 있는 것도 마음에 들고 가격 부담도 덜해서 다 쓰면 또 구매할 것 같아요."
2026-08-16,A000000171423,64237313,2026.08.15,3,1,GIFT,듀오기획 텐더블룸향+웜페탈향,,,,0,900.0,1,0,찌니브로,"[ 한달사용 결과 가격대비 큰 효과는 없었다]
- 세일하지 않을때 사면 비싼편이고 타브랜드 트리트먼트, 헤어팩보다 가격대가 있어요
- 향료제외하고 유해성분이 있음에도 불구하고 유해성분이 없는 트리트먼트랑 머릿결 개선에 별차이가 없었어요
- 향이 호불호가 있을것 같아요
- 드라마틱한 머릿결 개선은 없었어요
 모발이 굵고, 억세편인데 저에게 효과가 거의 없었어요
(탈색 한적 없고 염색 안 했어요)
- 재구매는 원래 없었는데 제가 좋아하던 미쟝센 살롱 트리트먼트 보라색 300ml 2개로 올리브영 기획으로 팔았는데 중단이 되서 재구매는 보류입니다
현재 새로 출시된 미쟝센 트리트먼트는 유해성분도 있고 저에게 안 맞는 성분이 있어 구매 안 하고 있어 다른 제품을 찾고 있는데 미쟝센 기존 제품이 재출시 하면 좋겠어요ㅠ"
2026-08-16,A000000247569,63824078,2026.08.06,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),A03,B04,"C01,C02",2,2430.0,1,1,무지개같다,"지이이인짜 몇 번 재구매인지 모르겠어요
이제는 그냥 세일할 때 쟁여버려...
저녁이나 오후에 간식은 먹고 싶은데 진짜 먹기는 부담될 때 이거 간편하게 한 포만 먹으면 얼마나 좋아요ㅠㅠ 탱글 곤약 젤리 느낌에 치아씨드 같은 것이 엄청 많이 있어서 씹게 되다보니 포만감도 채워줌!! 맛도 약간 달콤해서 짱 조우우움

제 리뷰가 도움이 되셨다면 좋아요 버튼👍 부탁드려요😍😍"
2026-08-16,A000000247569,64060758,2026.08.11,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),A02,B01,"C01,C03",0,1512.0,1,1,가족오락가락관,꾸준히 재구매햐서 먹는 제품이에요. 다 이어트 할 때 간식으로 먹어도 좋고 폭식 한 날 먹어 주기 좋아요.
2026-08-16,A000000247569,63997787,2026.08.10,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),A04,B01,"C05,C09",0,1512.0,1,1,하이구,"액상은 잘못먹으면 입안이 텁텁하고 
알약은 물필수여서 귀찮아서 안먹고 넘길때도있는데

온리추얼제품은 젤리형태여서 물도 필요없고 
그냥 뜯어서 쏙 간식처럼 먹어도되니깐 너무 편해요!"
2026-08-16,A000000247569,64242609,2026.08.15,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),A03,B03,"C01,C02",0,1200.0,1,0,포항포씨,"가르시니아 성분 때문인지 먹으니까 바로 배에 가스가 부글부글해지는.. 사실 엄청나게 체중 감소에 도움이 된다기 보다 보조제 역할로써는 충분한 거 같습니다! 아예 뭘 안 먹을 수 없으니까 가르시니아 성분 있는 보조제를 먹음으로서 지방 합성을 좀 막아줄 거라고 믿는.. 그런 보조제로 먹고 있어요 하하
간단하게 간식 겸 먹기 좋아요!"
2026-08-16,A000000247569,63824284,2026.08.06,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),A02,B05,"C08,C09",1,1134.0,1,1,치왈왈와르르,소화가 잘 되고..플라시보 효과인지는 모르겠으나 과식한날 먹어주고있어요
2026-08-16,A000000247569,64029320,2026.08.10,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),A02,B02,"C01,C02",0,900.0,1,1,lovely125,"맛없으면 손이 잘 안 가는데, 이건 그냥 맛있는 디저트 젤리 같아요
씹다 보면 톡톡 씹히는 알갱이가 있어서 식감이 재미있고, 젤리 형태라 그런지 은근히 포만감도 약간 있더라고요ㅎㅎ맛도 좋고 식감도 훌륭해서 앞으로도 계속 재구매해서 먹을 생각입니다"
2026-08-16,A000000247569,64116458,2026.08.12,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),A03,B03,"C01,C02",0,660.0,1,1,카야야,혈당컷 체지방컷 문구에 혹해서 구매해봤는데 너무 맛있네요. 냉장고에 두고 시원하게 래서 먹으면 더운 여름 얇은 옷 입기 준비 할 때 도움되는 건강간식이예요. 맛도 상큼달콤 맛있어요
2026-08-16,A000000247569,64043767,2026.08.11,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),,,,0,600.0,1,1,로토리83,"​맛도 좋고 몸이 가벼워지는 느낌이라 2주는 먹어봐야겠어서  2개 사길 잘했네요!
​꾸준히 먹어보고 있는데 기대 이상으로 만족스러워요!
​우선 탱글탱글한 젤리 타입이라 쫀득하고 정말 맛있어요. 상큼하고 부드러운 맛이라 질리지 않고 매일 챙겨 먹기 딱 좋습니다.
​특히 아침 공복에 먹어주고 있는데, 몸 안이 싹 청소되는 것처럼 가볍고 시원한 느낌이 들어요! 식이섬유가 풍부하게 들어있어서 그런지 체중관에도 확실히 도움이 되는 것 같고, 먹기 시작한 지 일주일 정도 됐는데 기분 탓인지 피부도 한결 좋아진 것 같아요.
​맛있게 챙겨 먹으면서 몸관리할 수 있어서 완전 만족합니다. 다 먹으면 또 재구매할게요!"
2026-08-16,A000000247569,63933511,2026.08.08,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),A03,B02,"C03,C09",0,594.0,1,1,비니312,맛있어서 입터짐 방지용이나 간식으로 먹기 좋아요!! 쟁여두고먹고있어요
2026-08-16,A000000247569,63849210,2026.08.07,5,0,NORMAL, 슬리밍컷 다이어트 7포(+1포),A04,B03,C05,0,594.0,1,0,가언이,"아니 이거 진짜 맛있음 슬림ㅁ컷 맞냐고 ...
그냥 젤리 그자체라서 완전 추쳔 🩶🩶
호불호도 안갈릴맛인뎅.. 강추 //

일단 먹어봐요 체지방 젤리인지 모르겟슴 !!!
씨앗 씹히는것도 좋고 탱탱ㅇ함
사진은 블로그 출청"
2026-08-16,A000000247569,62993995,2026.07.19,5,0,NORMAL, 슬리밍컷 다이어트 7포(+1포),A06,B01,"C05,C06",1,540.0,1,0,아리아리,"스틱형이라 가방에 넣어 다니면서 식사 전후로 챙기기 편했어요. 따로 통을 들고 다닐 필요가 없고 하루 섭취량이 나뉘어 있어 루틴을 만들기 좋더라고요. 짧은 기간이라 체중 변화를 단정하기는 어렵지만, 식단과 운동을 관리할 때 함께 챙기기에는 간편했습니다."
2026-08-16,A000000247569,64259415,2026.08.15,5,0,NORMAL, 슬리밍컷 다이어트 7포(+1포),,,,0,528.0,1,1,강핑크,4번째 구매했습니다. 먹은 날과 안 먹은 날은 차이가 많이 나요.
2026-08-16,A000000247569,64032356,2026.08.10,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),A03,,,0,528.0,1,1,무해한,효과는 모르겠는데 맛있어서 효과를 기대하며 재구매했어요
2026-08-16,A000000247569,63925364,2026.08.08,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),,,,0,405.0,1,1,mozzi1214,"평소 간편하게 챙길 수 있는 제품을 찾다가 구매해봤어요 젤리 형태라 물 없이도 맛있게 섭취할 수 있어서 생각보다 더 편했습니다.
개별 포장으로 되어 있어 가방에 넣고 다니기 좋고, 외출 중에도 간편하게 먹을 수 있었어요.
꾸준히 챙겨 먹기 좋은 점이 가장 마음에 들었고, 바쁜 일상 속에서도 간식 먹듯 간편하게 섭취할 수 있어 만족스러웠어요"
2026-08-16,A000000247569,63969031,2026.08.09,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),A03,B01,"C03,C10",0,396.0,1,1,haha****,치아씨드가 눈에 보이게 들어가 있어요. 맛있어서 간식처럼 생각날 때 하나씩 뽑아서 먹어요.
2026-08-16,A000000247569,63316096,2026.07.26,5,0,NORMAL, 슬리밍컷 다이어트 7포(+1포),A04,B03,"C05,C08",0,396.0,1,0,코코몽66,요즘 체중도 증가하고 해서 먹고 있는데  효과가 있기를 바라며 섭취중입니다.
2026-08-16,A000000247569,61658391,2026.06.19,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),,,,0,315.0,1,0,헤에헷,아 모르겠다~~ 끝맛은 좀 맛없을수 있으나 꿀꺽꿀꺽 삼키면 괜찮아요 젤리 형식입니다! 오랜만에 적어서 비교샷은 리뷰 작성하실때 쪽쪽 빨아서 먹는 마치 쭈쭈바 아이스크림 처럼 하시면 되겠습니다.
2026-08-16,A000000247569,62937367,2026.07.17,5,0,NORMAL, 슬리밍컷 다이어트 7포(+1포),A02,,,0,264.0,1,0,핫케이크,"젤리 좋아해서 샀어요
맛은 석류맛이라고 하는데
약간 소아과에서 받은 물약맛?느낌이요
한포밖에 안먹어서 모르겠네요!"
2026-08-16,A000000247569,62929488,2026.07.17,5,0,NORMAL, 슬리밍컷 다이어트 7포(+1포),A03,B01,"C01,C06",0,264.0,1,0,강핑크,"날씨가  점점 더워지고 있어서 관리를 하고 있어요.
점점 얇아지고 있어서 뿌뜻해요."
2026-08-16,A000000247569,63849797,2026.08.07,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),,,,0,198.0,1,0,ded****,"아직 어떤지는 잘모르겠지만
기대중입니다.
맛은 새콤달콤 좋네요"
2026-08-16,A000000247569,61742666,2026.06.21,5,1,OFFLINE, 슬리밍컷 다이어트 7포(+1포),,,,0,198.0,1,0,융늉,젤리타입이라 먹기 간편해서 좋아요 파우치에 챙겨다니먄서 점심이랑 같이 먹음
2026-08-16,A000000247569,58470340,2026.04.17,5,0,NORMAL, 슬리밍컷 다이어트 7포(+1포),A03,B03,"C01,C02",0,198.0,1,0,너머대,"친구추천으로 맛있는 젤리라해서 구매해봤어요
보통 이런 젤리들은 인공적인 향료 맛이 나서 별로였는데 이 제품은 석류향이 진하게 나고 안에 치아시드로 포만감도 약간 주는 것 같았습니다
대신 딱 하나 단점이 계속 먹고싶다는 것..ㅜㅜ"
