수집일자,상품번호,단계,오류
2026-09-11,A000000174309,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (cf) — 쿠키 확보 후 재시도
2026-09-11,A000000265234,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000204722,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000188988,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000232629,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000263717,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000222781,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000246445,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000217620,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000180532,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000263035,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000186792,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000262933,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000263939,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000239102,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000223753,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000190168,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000219609,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000237596,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000213943,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000261423,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000231822,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000199701,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000250199,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000262995,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000234422,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000198343,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000234394,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000259786,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000263068,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000263862,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000262953,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000255256,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000140618,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000259555,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000202777,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000189126,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000263428,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000263063,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000233470,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000164736,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000259872,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000240462,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000237901,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000241210,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000148268,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000244834,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000263019,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000264149,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000255585,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000013194,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000263681,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000230092,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000253617,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000186409,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000266721,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000262614,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000267258,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000138671,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000203943,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000150361,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
2026-09-11,A000000117541,reviews,POST https://m.oliveyoung.co.kr/review/api/v2/reviews/cursor failed after 3 retries: HTTP 403 (Cloudflare)
