수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,대표이미지URL,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-08-15,전체,1,메디힐,[15년 연속 1위] 메디힐 에센셜 마스크팩 10/10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A000000223414117ko.jpg?l=ko,20000,10000,50.0,473340,4.9,91,7,2,0,0,1,0,1,1,A000000223414,ALL
2026-08-15,전체,2,메디힐,[업그레이드 리뉴얼/단독기획] 메디힐 더마 패드 200매 대용량 기획 세트 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171427227ko.png?l=ko,39900,28600,28.3,78593,4.8,85,10,3,1,1,1,1,1,1,A000000171427,ALL
2026-08-15,전체,3,바이오더마,[8/15 하루특가] 바이오더마 시카비오 포마드 100ml(리페어 리치 밤),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000134691,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0013/A00000013469127ko.jpg?l=ko,40000,29000,27.5,14164,4.8,84,11,3,1,1,0,1,0,1,A000000134691,ALL
2026-08-15,전체,4,어노브,[4년 연속 1위] 어노브 딥 데미지 리페어 헤어 마스크 (트리트먼트/헤어팩) 320ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171423164ko.png?l=ko,42000,29800,29.0,88923,4.9,89,8,2,0,0,1,0,0,1,A000000171423,ALL
2026-08-15,전체,5,어노브,어노브 딥 데미지 리페어 샴푸 500ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183059,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018305979ko.png?l=ko,34000,26800,21.2,23449,4.9,91,7,2,0,0,1,0,0,1,A000000183059,ALL
2026-08-15,전체,6,제로이드,[대용량] 제로이드 수딩 크림 80ml + 50ml 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231589,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023158929ko.jpg?l=ko,38000,28900,23.9,8867,4.8,87,9,3,1,1,1,1,0,1,A000000231589,ALL
2026-08-15,전체,7,딜라이트 프로젝트,[8월올영픽]딜라이트 프로젝트 단백질쉐이크 45g 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208162,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020816269ko.jpg?l=ko,3900,3600,7.7,44771,4.8,90,7,3,0,0,0,1,0,1,A000000208162,ALL
2026-08-15,전체,8,웰라쥬,[8월올영픽] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+60ml 리필+수딩크림 30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026142335ko.jpg?l=ko,50000,29500,41.0,18497,4.8,89,8,2,0,0,1,1,1,1,A000000261423,ALL
2026-08-15,전체,9,비플레인,[8월올영픽/2천만돌파]비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260522,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026052209ko.jpg?l=ko,26000,23500,9.6,18625,4.9,89,8,2,0,0,1,1,0,1,A000000260522,ALL
2026-08-15,전체,10,온더바디,[위클리초특가] 온더바디 발을씻자 코튼 풋샴푸 대용량 510ml (복숭아/쿨링 택1),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260463,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026046318ko.jpg?l=ko,7400,4990,32.6,43,5.0,98,,2,,,1,0,0,1,A000000260463,ALL
2026-08-15,전체,11,셀라딕스,[리뷰이벤트/트러블1등] 셀라딕스 세범 리밸런싱 131 앰플 30ml 기획 (+미니언즈 키링) (미니언즈 콜라보),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260600,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026060006ko.jpg?l=ko,28900,25400,12.1,188,4.8,88,8,3,1,1,1,1,0,1,A000000260600,ALL
2026-08-15,전체,12,메디힐,[업그레이드 수분흔적세럼/1+1] 메디힐 마데카소사이드 더마 세럼 50+50mL 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261742,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026174210ko.png?l=ko,43000,24400,43.3,818,4.9,95,3,1,0,0,1,1,1,1,A000000261742,ALL
