수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-08-31,A000000261842,65158337,2026.08.30,5,0,NORMAL,콜라겐 마스크 7+1매 기획,A03,B02,C05,0,792.0,1,0,불타는옥수수,뜯고나면 약간 건조하게 느껴질때도 있는데 그럴때는 한번 더 수분크림을 발라줍니다
2026-08-31,A000000261842,65180544,2026.08.30,5,0,NORMAL,콜라겐 마스크 7+1매 기획,,,,0,200.0,1,0,kjg2345****,배송이 빨라서 좋았습니다. 급하게 오느라 박스가 손상이 되었던것같아요 ㅠ 그래도 마우스패드도 너무 이쁘고 팩도 아주 좋았습니다. 좋은 기회에 좋은 제품 이용 할 수 있어서 좋았습니다. 다음번에도 좋은 행사 있으면 구매해보고 싶습니다. 키티 너무 이뻐요~~
2026-08-31,A000000261842,65166625,2026.08.30,5,1,OFFLINE,콜라겐 마스크 7+1매 기획,,,,0,180.0,1,0,jion****,"코르티스 건호가 쓰는 팩!
코르티스 자컨에서 건호가 쓴다길래 따라 사봤어요
스킨케어 다 하고 마지막에 붙였는데
저는 3시간만 해도 건조하더라고요
그래서 딱 3시간만 하고 땠는데
다음날 화장 잘 먹었다 피부 좋다는 말 많이 들어서 재구매 합니다! 중요한 날 하면 좋을 거 같아요 강추~"
2026-08-31,A000000261864,65164932,2026.08.30,5,0,NORMAL, ,A03,B04,"C01,C03",0,792.0,1,0,에이미Amy,민감성 수부지인데 이 크림으로 바꾼 이후로 피부가 늘 편하네요. 1년 넘게 사용하고 있어요. 평생 이것만 쓸 듯!!
2026-08-31,A000000263681,65175850,2026.08.30,5,0,NORMAL, ,A02,B03,"C01,C02",0,1512.0,1,0,오올챙,유분감이 거의 없어 여름철이나 답답한 크림이 싫을때 바르기 좋아요. 순한 성분 위주라 민감성 피부나 트러블성 피부도 안심하고 사용할 수 있을것 같아요.
2026-08-31,A000000139063,65170837,2026.08.30,5,1,OFFLINE,[본품+리필] 크림핑크,A03,B04,"C01,C04",0,792.0,1,0,hyeonseo,"와오아오ㅗ엉와오
진짜 이거 너무 좋아요..!!! 처음에는 괜찮을까 했는데 이제는 장바구니에 항상 잇어요ㅋㅋ 아무튼 다들 이거 사보세요!"
2026-08-31,A000000263428,65164747,2026.08.30,5,0,NORMAL,폼클렌저 2입+포차코 파우치형 장바구니,A03,B04,"C01,C04",1,1800.0,1,0,성준듀,"전에도 이미 라곰을 사용중이엿는데 
다 써갈때쯤 포차코 콜라보... 
바로 삿어요 ㅎㅅㅎ 
귀여운 장바구니도 잇구!!! ㄴㅁ ㄱㅇㅇ
보통 저는 풀메해서 매일 이중세안을 해주는데
클워 - 폼
오일 - 폼 이렇게 할 때마다 라곰 클렌져를 써주고잇어욘💦
쓰고나서 너무 당기지도 않구 적당히 세정력은 좋아서 
이중세안용으로 잘쓰는듕입니다
저 말고도 가족들 다 같이 쓰는중임!!! 
튜브형이구 마지막까지 잘 나와서 박박긁어서씀 ㅎㅅㅎ
용량도 커서 (120ml)꽤 오래 썻어요!!"
2026-08-31,A000000263428,65174239,2026.08.30,5,0,NORMAL,폼클렌저 2입+포차코 파우치형 장바구니,A03,B03,"C05,C08",0,1200.0,1,0,코리걸,"라곰 포차코 콜라보는 못참죠!! 포차코 장바구니 무척 귀여워요 색상도 이쁘고 아주 맘레 쏙 들어요ㅎㅎㅎ 증정할 때 꼭 구매하시길 추천합니당🤍
라곰 제품은 입소문 듣고 한번 사용해보고싶었는데 폼클렌저 너무 괜찮네요 복합성이긴한데 요즘엔 많이 건조했거든요 ㅜㅠ 라곰 폼클렌저로 세안하고 나니까 피부가 건조함으로 땡기지 않더라구요~ 요게 제일 만족스러웠는데 세정력도 괜찮고 순해서 더 좋았습니당 제가 예민한 피부라 새로운 제품 사용하면 따가운 경우가 잦은 편인데 라곰 폼클렌저는 그런거 전혀 없었습니당! 거품도 잘나는 제형에다가 향기도 너무 강하지 않구 은은하게 좋아서 세안할 맛 나는 폼클이에요!! 자극적이지 않고 순한 폼클렌저 찾으시면 라곰 한번 사용해보시길 추천드립니당 가격도 착하고 만족스러워용!!"
2026-08-31,A000000262530,65171782,2026.08.30,5,1,OFFLINE,세이프 미 클렌징밀크 폼폼푸린 기획,A05,B02,"C01,C02",1,792.0,1,0,딩딩댕동,이것만 써요 피부가 예민해서 한번씩 뒤집히고 난뒤에는 클렌징 밀크 이제품만 쓰고 지워요
2026-08-31,A000000262530,65181943,2026.08.30,5,1,OFFLINE,세이프 미 클렌징밀크 폼폼푸린 기획,,,,0,300.0,0,0,잘가자두야,"피부 스타일: 볼쪽 개개개ㅐㄱ극건성 진짜 건조함의 끝판왕 하지만 코 이마부위 근처는 기름 철철한 수부지 스타일인데 플러스 홍조에 붉은기 엄청나고 민감성 타입

장점: 일단 발림성이 넘 젛아요 바르는 순간 부드럽게 발리고 제형도 넘 맘에 들어요 그리고 자극이 진짜 없우요 자극 ㄹㅇ 없고 잘 지워져요 그리고 원레 클렌징 밀트릉 안썼는데 이갈 쓰고 주7일중 4~5일 생카 2~3일은 밀크로 피부 진정시키는데 좋아요

단점: 세정 후 잔여감이 좀 들어요 일단 제가 파데 쓰는데 파데 잔여감이 들어서 오일도 1차 세안후 이걸로 2차 세안해여 이것만 쓰면 다 지워진 느낌이 안들아요 그리고 이거랑 폼클렌징을 사용하면 너무 얼굴에 뻑빡한 느낌이 들어서 오일이랑 밀크랑 같이 사용하는 걸 추천해요 그리고 제가 극건성이라고 했잖아야요 얼굴이 금방 땡겨요 건성분들은 무슨말이지 아실텐데 얼굴이 금방 땡기는 감이 있지만 지성분들한테은 괜찮을거 같아요

총점: 피부에 자극이 없고 발림성이 부드럽게 빌랴서 젛다. 하지만 단독 세정후 잔여감(특히 화장하고 지울때)이 남는 느낌이 들고 폼클렌징이랑 이거릉 같이 사용하면 빡빡하다(폼클렌징은 순한걸 사용 추천) 개인적으로는 오일하고 같이 사용하는걸 추천!!, 그리고 건성 분들은 얼굴 땡김을 느낄수 있다는 점 고려. 하지만 그래도 뭔가 계속 사용하기 돼기 때문에 재의사 있음"
