수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,대표이미지URL,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-08-31,전체,1,토리든,토리든 다이브인 저분자 히알루론산 세럼 50ml 리필 기획(+50ml 리필+자석인형) (시나모롤),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263664,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026366404ko.jpg?l=ko,36000,25550,29.0,1642,4.8,89,8,2,0,1,1,1,0,1,A000000263664,ALL
2026-08-31,전체,2,메디힐,[15년 연속 1위/7일 한정판매] 메디힐 에센셜 마스크팩 10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A000000223414122ko.png?l=ko,20000,9900,50.5,487087,4.9,91,7,2,0,0,1,1,0,1,A000000223414,ALL
2026-08-31,전체,3,에스네이처,[스테디셀러 특가/1+1/1등 모공수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml더블기획(+헬로키티키캡키링),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263782,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026378289ko.png?l=ko,43000,20900,51.4,57333,4.8,86,10,3,1,1,1,1,0,1,A000000263782,ALL
2026-08-31,전체,4,메디힐,[8/30 하루특가/산리오캐릭터즈 에디션] 메디힐 더마 패드 200매 대용량 기획 세트 5종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171427232ko.png?l=ko,39900,28330,29.0,79831,4.8,85,10,3,1,1,1,1,0,1,A000000171427,ALL
2026-08-31,전체,5,도브,[체리향 출시/하루특가] 도브 바디 스크럽 298g 5종 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000186792,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018679258ko.png?l=ko,17900,10480,41.5,32744,4.8,88,9,3,0,0,1,1,0,1,A000000186792,ALL
2026-08-31,전체,6,라로슈포제,[9월 올영픽/데일리장벽케어] 라로슈포제 시카플라스트 멀티 리페어 크림 100ml 기획 (+시카에센스 7.5ml*2),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263019,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026301905ko.jpg?l=ko,52000,37440,28.0,19830,4.8,84,10,4,1,1,1,1,0,1,A000000263019,ALL
2026-08-31,전체,7,웰라쥬,[스테디셀러 특가] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+60ml 리필+수딩크림 30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026142337ko.jpg?l=ko,50000,29300,41.4,20212,4.8,89,8,2,0,0,1,1,0,1,A000000261423,ALL
2026-08-31,전체,8,바이오던스,[8/30 하루특가/산리오 굿즈] 바이오던스 바이오 콜라겐 리얼 딥 마스크 7+1매 기획(+헬로키티 마우스패드),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261842,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026184207ko.jpg?l=ko,35000,27900,20.3,6339,4.8,85,10,4,1,1,1,1,0,1,A000000261842,ALL
2026-08-31,전체,9,마녀공장,[8/30 하루특가/최미나수PICK] 마녀공장 퓨어 소이빈 클렌징오일 200ml 2입 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253617,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025361759ko.jpg?l=ko,37000,22500,39.2,56807,4.8,86,10,3,0,0,1,1,0,1,A000000253617,ALL
2026-08-31,전체,10,아누아,[9월 올영픽/산리오캐릭터즈 콜라보] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블기획(+시나모롤 파우치),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262602,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026260213ko.png?l=ko,57500,26900,53.2,21963,4.8,85,10,4,1,1,1,1,0,1,A000000262602,ALL
