수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-09-05,A000000223414,65364280,2026.09.01,5,1,OFFLINE, 티트리 진정수분 1매,A02,B02,C02,17,13032.0,1,0,hhhhj11,"🌿 티트리 진정수분 마스크 

티트리 진정수분은 피부가 붉어지고 예민하거나 유분과 건조함이 동시에 느껴질 때 진정과 수분을 함께 챙기기 좋은 마스크팩이에요."
2026-09-05,A000000223414,65364173,2026.09.01,5,1,OFFLINE,비타민씨 잡티토닝 1매,A02,B02,C02,16,13032.0,1,0,hhhhj11,"✨ 잡티 토닝 → 잡티와 색소침착으로 얼룩덜룩해 보이는 피부톤을 집중 케어
💧 수분 보충 → 건조함으로 푸석해 보이는 피부에 촉촉함을 더해줌"
2026-09-05,A000000261864,65794857,2026.09.05,5,0,NORMAL, ,A02,B03,"C01,C02",0,1512.0,1,0,오올챙,"날이 건조해지면 잔주름이 부각되고 화장이 갈라지곤 했는데, 아토베리어 크림을 바르고 나서는 화장 수정할 일이 줄었어요. 고보습 크림이라 역시 용량이 큰게 좋네요."
2026-09-05,A000000262413,65341376,2026.09.01,5,0,NORMAL, [일반] 티트리 트러블 진정 패드,A01,B01,C07,21,14472.0,0,0,오란소녀,토너 패드가 크고 팩하기도 좋음 찬구나 지인들한테 추천도 하고 뿌리고있음
2026-09-05,A000000262413,65469370,2026.09.02,5,1,GIFT,[일반] 히알루론산 속보습 패드,A03,B02,"C01,C03",20,13752.0,0,0,건빵에별사탕,올영 세일기간에 구매해서 사용해봤는데 괜찮은 거같습니 다 재 구매 의사 있습니다. 저렴하게 구입하고 이용하기 좋아요
2026-09-05,A000000262413,65341203,2026.09.01,5,1,OFFLINE,[하루특가] 흔적진정패드 산리오기획,A01,B01,C07,20,13752.0,0,0,오란소녀,항상 쓰는데 촉촉하고 패드도 은근커서 얼굴에 팩용으로도 좋움
2026-09-05,A000000261423,65626681,2026.09.03,5,0,NORMAL,100ml(+리필60ml+크림30ml),A01,B03,"C01,C02",2,3240.0,1,0,iuudiw88,"크림 바르기엔 기름지고 안 바르기엔 건조해서 대신 얼굴에 왕창 올리는 용도로 구매했습니다..

아침 저녁 세안 후 각질 정리나 피부결 정리하고 그 위에 3펌프 정도 발라줘요 양볼과 이마. 그러면 처음엔 개 두꺼워서 이거 마르나 싶은데 다 마르고 살짝 끈끈해집니다 그러면 이제 선크림이라던가 바르기 좋아요.

며칠 전에 좀 더위 가셨다고 크림 발랐다가 기름져서 피부 싹 뒤집어져서 차선책으로 이렇게 한 건데 만족합니다..ㅠㅠ 

그래서 증정으로 받은 크림은 개봉도 안해봤습니다 가을겨울엔 쓰겠죠 뭐..

근데 이제 막 별다른 효과가 있다기보다는 자극도 없고 보습감은 있고 기름기는 안 돌아서 좋은 거라 재구매의사는 보통?"
2026-09-05,A000000137964,65264394,2026.08.31,1,0,NORMAL,[기획/마이멜로디 파우치] 20 모카빔,A03,B05,"C04,C05",43,11100.0,0,0,아보키위,"아니 모카빔이래서 산건데 붉은빛이 너무돌아요 여름뮤트색임
가을웜이라 기대만땅하고 드디어 붉은기 없는 멀멀한색이 나왔나하고 바로 구매갈겼는데 
진짜 요즘 모카 이름 붙히고나오는 블러셔들중에 찐 모카색
본적 한번도없음 개빡쳐요 ㄹㅇ"
2026-09-05,A000000137964,65132458,2026.08.30,4,1,OFFLINE,[기획/마이멜로디 파우치] 20 모카빔,A03,B05,"C02,C04",10,6840.0,1,0,갈웜김미연,"핑거퍼프 도장브러쉬도 좋지만 얘는 손꾸락으로 바르고 베이스 바르던 퍼프로 대충 블렌딩하는게 젤 편함 
색은 무난하게 예쁜 초코베이지우유 느낌이고 볼따구 광 나는 느낌으로 예쁨 갠적으로 (가격때문에 필터가 씌인건지 뭔지) 밀키모카보다 이뻐씀 밀키모카보다 더 쫀득한 제형임
원래 있던 노티빔이 약간 회기? 붉은기 있는 딸기초코라면 얘는 초코느낌 들게 붉은기 빠짐 첫번째 사진이 모카빔(신상) 두번째가 너티빔임다"
2026-09-05,A000000240462,65673857,2026.09.04,5,0,NORMAL, ,,,,2,1800.0,1,0,시여시여,"마스크팩 머리카락 붙고 찐득거리는게 싫어서 사봤는데
기대없이 샀는데 너무 좋아요~~~
드라이를하던 뭐를 하던 일단 머리에 안붙어서 👏🏻👏🏻

기대감없이 떼어냈을때 피부 환해지는게 보이더라구요!
내용물도 생각보다 듬뿍있어 떼어내고서도 팩에 묻어있어서
슥슥 팔 다리 발라주기도 👍🏻👍🏻

떼어내고 흡수율도 좋아서 찜찜한 그 느낌.. 
전~~혀 없고 촉촉함만 남아있어요~
브라이트닝이라 그런지 즉각적으로 밝아보이는건
처음이에요~ 
만족!"
