수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,대표이미지URL,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-09-11,전체,1,메디힐,[15년 연속 1위] 메디힐 에센셜 마스크팩 10/10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A000000223414125ko.png?l=ko,20000,10000,50.0,503166,4.9,91,7,2,0,0,1,0,0,1,A000000223414,ALL
2026-09-11,전체,2,어노브,[4년 연속 1위] 어노브 딥 데미지 리페어 헤어 마스크 (트리트먼트/헤어팩) 320ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171423172ko.jpg?l=ko,42000,28800,31.4,93236,4.9,90,8,2,0,0,1,1,0,1,A000000171423,ALL
2026-09-11,전체,3,설화수,[추석 지함보 기획] 설화수 탄력 3종/윤조 3종/윤조 90ml 기획 모음,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204635,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020463570ko.jpg?l=ko,140000,126000,10.0,629,4.9,94,4,1,0,0,0,1,0,0,A000000204635,ALL
2026-09-11,전체,4,어노브,[파워퍼프걸 콜라보] 어노브 딥 데미지 리페어 샴푸 500ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183059,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018305985ko.jpg?l=ko,34000,25800,24.1,25037,4.9,91,7,2,0,0,1,1,0,1,A000000183059,ALL
2026-09-11,전체,5,어노브,[파워퍼프걸콜라보][퍼퓸핸드크림] 어노브 글로우 고보습 핸드크림 40ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000234985,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023498552ko.jpg?l=ko,15000,10900,27.3,3543,4.9,91,6,2,1,0,1,1,0,1,A000000234985,ALL
2026-09-11,전체,6,아누아,[9월 올영픽/산리오캐릭터즈 콜라보] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블기획(+시나모롤 파우치),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262602,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026260213ko.png?l=ko,57500,27000,53.0,23771,4.8,85,10,4,1,1,1,1,0,1,A000000262602,ALL
2026-09-11,전체,7,나른,[올리브영X산리오] 나른 브레즘 코튼 숏트렁크 (2 colors)(헬로키티/쿠로미),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261498,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026149809ko.jpg?l=ko,19900,13500,32.2,866,4.9,92,5,1,0,1,1,1,0,1,A000000261498,ALL
2026-09-11,전체,8,어노브,"[파워퍼프걸 콜라보] 어노브 헤어 퍼퓸 미스트 20ml 3종 택 1 (로지 아우라, 텐더블룸, 웜페탈)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213983,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021398323ko.jpg?l=ko,37000,30900,16.5,3063,4.8,89,8,2,1,0,1,1,0,1,A000000213983,ALL
2026-09-11,전체,9,아비브,[9월 올영픽/산리오] 아비브 어성초 테카 캡슐 세럼 카밍 드롭 50ml 더블 기획(+스팟패치+케이스),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263036,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026303608ko.png?l=ko,48000,27900,41.9,16356,4.7,83,11,5,1,1,1,1,0,1,A000000263036,ALL
2026-09-11,전체,10,스킨푸드,[한정기획] 스킨푸드 당근 PDRN 속수분 패드 100매 기획 (+10매*3),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255579,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025557920ko.png?l=ko,29000,18200,37.2,2143,4.8,89,6,3,1,1,1,1,0,1,A000000255579,ALL
2026-09-11,전체,11,에스트라,[1등크림] 에스트라 아토베리어365 크림 80ml 기획(+토너25ml+클렌징폼3g*3EA),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261864,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026186405ko.jpg?l=ko,33000,26700,19.1,39929,4.9,90,7,2,0,1,1,1,0,1,A000000261864,ALL
2026-09-11,전체,12,에이치케이엔터코리아,산리오 캐릭터즈 레이니데이 인형키링 8종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261918,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026191804ko.jpg?l=ko,16000,12000,25.0,760,4.9,96,3,0,0,0,1,1,0,1,A000000261918,ALL
2026-09-11,전체,13,아누아,[9월 올영픽/산리오캐릭터즈 콜라보] 아누아 피디알엔 히알루론산 100 수분 크림 60ml 더블기획(+시나모롤 집게핀),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262603,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026260328ko.png?l=ko,64000,26900,58.0,10206,4.8,86,10,3,1,1,1,1,0,1,A000000262603,ALL
2026-09-11,전체,14,설화수,[NEW] 설화수 자음 2종/트라이얼 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231763,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023176347ko.jpg?l=ko,85000,76500,10.0,102,4.9,95,2,2,,1,0,1,0,1,A000000231763,ALL
2026-09-11,전체,15,메디힐,[산리오캐릭터즈 에디션] 메디힐 더마 토너패드 100+100매 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262413,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A000000262413244ko.png?l=ko,39900,28500,28.6,83140,4.8,86,10,3,1,1,1,1,0,1,A000000262413,ALL
2026-09-11,전체,16,일리윤,[5년연속1위/100시간보습] 일리윤 세라마이드 아토 로션 334ML+100ML(기획/단품),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000157820,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0015/A00000015782025ko.png?l=ko,18900,13900,26.5,25635,4.9,90,8,2,0,0,1,0,0,1,A000000157820,ALL
2026-09-11,전체,17,리터니티,[라이브특가/9월올영픽] 리터니티 헬로키티 이어테라피 기획20pcs,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263475,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026347515ko.png?l=ko,27300,18600,31.9,3262,4.7,78,13,6,1,1,1,1,1,1,A000000263475,ALL
2026-09-11,전체,18,온그리디언츠,[9월 올영픽/산리오캐릭터즈] 온그리디언츠 스킨 베리어 속광 미스트 100ml기획(로션 30ml+ 헬로키티 카라비너),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263932,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026393206ko.png?l=ko,25000,21300,14.8,4636,5.0,98,1,1,0,0,1,1,0,1,A000000263932,ALL
2026-09-11,전체,19,설화수,[추석 지함보 기획] 설화수 윤조에센스 90ml 단품/기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204633,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020463392ko.jpg?l=ko,140000,126000,10.0,597,4.9,94,4,1,0,0,0,1,0,0,A000000204633,ALL
2026-09-11,전체,20,얼터너티브스테레오,[9월올영픽/산리오콜라보]얼터너티브스테레오 립 포션 슈가 글레이즈 틴트 미니 4ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232078,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023207838ko.jpg?l=ko,11000,7800,29.1,7556,4.8,84,11,4,1,0,1,1,0,1,A000000232078,ALL
2026-09-11,전체,21,라로슈포제,[9월 올영픽/손상장벽집중케어]라로슈포제 시카플라스트밤 B5+ 100ml 기획 (+시카에센스7.5ml+히알루세럼3ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263009,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026300905ko.jpg?l=ko,41000,32800,20.0,34778,4.8,87,9,3,1,1,1,0,1,1,A000000263009,ALL
2026-09-11,전체,22,정샘물,[미니쿠션 증정] 정샘물 에센셜 스킨 누더 쿠션 한정 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000139063,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0013/A000000139063179ko.jpg?l=ko,48000,39360,18.0,39915,4.7,81,13,4,1,1,1,0,0,1,A000000139063,ALL
2026-09-11,전체,23,보다나,[9월 올영픽/헬로키티] 보다나 이지 업 헤어스타일러 플립 (기획/단품),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263630,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026363006ko.png?l=ko,85000,68500,19.4,659,4.6,76,14,7,2,2,1,1,0,1,A000000263630,ALL
