수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-07-22,전체,53,뮤드,[7월 올영픽/마찌콜라보] 뮤드 스키니컬링/멀티픽서 마스카라 (단품/ 1+1 기획),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182700,14000,11970,14.5,25000,4.8,84,11,4,1,1,1,0,1,1,A000000182700,ALL
2026-07-22,전체,54,아누아,[수지 PICK/한정기획] 아누아 피디알엔 히알루론산 수분 캡슐 미스트 100ml 2입 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247773,70000,33500,52.1,5996,4.6,76,13,7,2,2,1,0,0,1,A000000247773,ALL
2026-07-22,전체,55,디어클레어스,[미니용량증정/진정비비] 클레어스 데일리 디펜스 서플 블레미쉬 크림 SPF40 PA+++ 40g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258160,34000,20900,38.5,23,4.9,87,13,,,,1,1,1,1,A000000258160,ALL
2026-07-22,전체,56,연작,[7월올영픽/화잘먹베이스] 연작 스킨 퍼펙팅 프로텍티브 베이스 프렙 25ml/40ml 기획/단품,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213943,33000,27720,16.0,11725,4.8,83,11,4,1,1,1,1,1,1,A000000213943,ALL
2026-07-22,전체,57,베네피트,베네피트 립 앤 치크 틴트 7종 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000131154,32000,24320,24.0,7822,4.7,78,15,5,1,1,0,1,1,1,A000000131154,ALL
2026-07-22,전체,58,페리페라,페리페라 스피디 스키니 브로우 8 Colors (단품/더블),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000138671,6000,6000,0.0,97182,4.8,86,11,3,0,0,0,0,0,1,A000000138671,ALL
2026-07-22,전체,59,달바,[쿨톤보정] 달바 퍼플 톤업 선크림 듀오 기획 (50ml+50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200614,51000,34900,31.6,10829,4.8,90,7,2,0,1,1,1,1,1,A000000200614,ALL
2026-07-22,전체,60,화이니카,[약국 입점] 화이니카 치탄플러스 분말치약 20g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240327,41900,34800,16.9,250,4.9,90,8,2,,0,1,0,0,1,A000000240327,ALL
2026-07-22,전체,61,마녀공장,[블랙헤드1등] 마녀공장 퓨어 소이빈 클렌징오일 200ml 2입 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253617,37000,25900,30.0,53645,4.8,86,10,3,0,0,1,0,0,1,A000000253617,ALL
2026-07-22,전체,62,비플레인,[말끔모공/국민클폼]비플레인 녹두 약산성 클렌징폼기획 160ml+40ml 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187479,21900,18600,15.1,17507,4.9,89,9,2,0,0,1,0,0,1,A000000187479,ALL
2026-07-22,전체,63,비비랩,비비랩 슬림 밸런스 유산균 2 g x 30포 (15일분),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261097,18900,18900,0.0,0,0.0,,,,,,0,0,1,1,A000000261097,ALL
2026-07-22,전체,64,이니스프리,"[3,300만판매] 이니스프리 화산송이 바하 모공 클렌징폼 150g",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190589,13000,6190,52.4,2954,4.8,86,10,3,0,0,1,1,1,1,A000000190589,ALL
2026-07-22,전체,65,올더베러,올더베러 단백질 쉐이크 45g 6종 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245884,3900,3900,0.0,14034,4.8,86,8,4,1,1,0,0,0,1,A000000245884,ALL
