수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-09-10,A000000223414,66017280,2026.09.08,5,1,OFFLINE,세라마이드 보습장벽 1매,A02,B02,C02,16,13032.0,1,0,복자씨,"🧴 세라마이드 → 피부 장벽과 보습 케어
💧 건조하고 당기는 피부에 수분·보습을 채워주는 타입
🫧 메디힐 에센셜 마스크 특유의 대나무 유래 비건 시트로 밀착 케어"
2026-09-10,A000000223414,66016810,2026.09.08,5,1,OFFLINE, 티트리 진정수분 1매,A02,B02,C02,16,13032.0,1,0,복자씨,"이런 피부 고민에 추천

🌿 피부가 예민하고 붉어 보이는 날
💦 피부가 건조하면서 열감이 느껴질 때
🫧 트러블이 올라오기 전후로 편안한 케어를 하고 싶을 때"
2026-09-10,A000000267302,66118554,2026.09.10,5,0,NORMAL, ,A02,B01,"C01,C02",0,1800.0,1,0,나플레져,"오오오 분사력이 아주 좋습니다.
한 번에 한 섹션 다 뿌릴 수 있어요.
향은 뿌리고 나면 거의 없어요.
시원 상큼하구요.
촉촉한 바디가 마음에 드네요.
한 군데 시험삼아 처음에 뿌렸는데 뿌리고 나니 시원하고 촉촉해서 결국 여기 저기 뿌리게 되었답니다."
2026-09-10,A000000267302,66115282,2026.09.09,5,0,NORMAL, ,,,,0,1800.0,1,0,두린이,"등드름 바디 스프레이 여럿 써봤지만 꾸준히 써서 효과 봤던건 이제품이 처음이었던거 같아요
처음에 인스타 광고로 대용량 구성으로 구매했던 제품인데 꾸준히 한통 다 쓰고 효과를 많이 봐서 재구매 하려던 참에 올영에 소용량으로 판매중인거 보고 휴대용으로도 좋을 것 같아 바로 구매했네요
일단 등이 팔이나 얼굴처럼 노출되는 부위가 아니다보니까 여러 요인에 의해 뾰루지가 날때가 있는데 이거 뿌리고 나선 확실히 가끔 한두개정도만 나고 이미 난것도 빠르게 진정시켜주는 효과가 있어요 뾰루지로 인한 흉터완화에도 어느정도 도움을 주는 것 같습니다"
2026-09-10,A000000267302,66113662,2026.09.09,5,0,NORMAL, ,,,,0,1800.0,1,0,시크릿걸,"🌿 성분

* AHA + BHA + PHA 함유로 묵은 각질과 모공 노폐물 케어
* 만델릭애씨드(AHA) → 비교적 순하게 각질 정돈
* 베타인살리실레이트(BHA) → 모공·피지 및 트러블 피부 케어
* 락토바이오닉애씨드(PHA) → 각질 정돈과 함께 보습에 도움
* 여주·오크라·노니 복합추출물로 피부 진정·보습·탄력 케어까지 기대할 수 있어요.

💦 사용감

평소 등드름이나 팔 닭살 때문에 바디 제품을 신경 쓰는데, 이 제품은 스프레이 타입이라 사용하기 편해요.
살짝만 분사해도 양이 충분히 도포돼서 등이나 팔처럼 넓은 부위에 사용하기 좋았어요.

뿌렸을때  우유에센스처럼 나와서 부드럽고 촉촉한 느낌인데 끈적임이 심하지 않고 피부에 촉촉하게 남는 편이라 부담스럽지 않아요. 각질 케어 성분이 들어있어 꾸준히 사용하면서 피부결 관리하기 좋을 것 같아요.

향은 일반적인 바디향은아니고 조금 건강한 느낌의 풀잎·허브 같은 향이라 호불호는 있을 수 있지만, 바디케어 제품답게 깔끔한 느낌이에요.

✔️ 등드름·팔 닭살 케어
✔️ AHA+BHA+PHA 각질·모공 관리
✔️ 우유처럼 촉촉한 사용감
✔️ 넓은 부위에 간편하게 분사 가능"
2026-09-10,A000000183059,66127989,2026.09.10,5,0,NORMAL,스윗 브리즈,A04,B04,C05,0,1080.0,1,1,연평해전,"올리브영 제품은 항상 냉장고에 넣고 사용중이에요 화장품냉장고 용량이 작아서 어쩔수가 없네요  일단 이번 제품은 몸에 잘 맞는것 같아요  물론 조금더 사용 해봐야겠지만  며칠 써본 것을 말씀 드리면 일단 얼굴에 과 몸에 잘 맞아요  그리고 일단 트러블이 없어요 트라블이 없다늠것은 엄청 좋은 장점이라 생각해요 요즘 세상이 참 사람들이 이상하고 이상한 제품도 많은데 올리브영은 그렇지 않은것 같아요 항상 그렇게 느껴요 두번째 끈적임이 전혀 없어요  끈적임이 있으면 얼굴에 바르던 다른곳 어디에 바르던 찝찝할텐데 올리브영 제품은 그렇지가 않아서 좋아요  가장 큰 장점인것 같아요  세번째는 그냥저냥 가격이 저렴하다는 거에요  많이6 사놓고 싶지만 그럴수 없는것이 좀 안타깝긴 하지만  제품이 좋아서 그냥 쓰는 편이에요  네번째  쉽게 변질되지 않는것 같아요 아무리 냉장고에 넣어놔도 제품이 별루면 변질 되기 쉬운데  올리브영 제품은  일방적으로 좋어요  일단 제 피부의 유연성이나 부드러움이 많이 개선 되었습니다 눈에 따는
 곳곳이 부드럽고 트러블이 없어 졌습니다 항상 잘 사용 하고 있어서 기분이 좋습니다"
2026-09-10,A000000171423,64218377,2026.08.14,5,0,NORMAL,듀오기획 텐더블룸향+웜페탈향,A01,B06,"C01,C05",6,2196.0,0,1,정혜란,"어노브 향 진짜 너무 좋아요
몇통째 쓰는지 모르겠네요
적당히 되직해서 좋아요"
2026-09-10,A000000262912,65270727,2026.08.31,5,0,NORMAL, [산리오] 150ml+150ml+스티커,,,,3,1107.0,1,0,리시안셔스럽,"아침 세안용이나 2차세안으로 사용하고 있어요
건성에게 좋아요"
2026-09-10,A000000262912,66073572,2026.09.09,5,0,NORMAL, ,A03,B02,"C01,C02",0,1080.0,1,0,난향,"토리든 다이브인 히알루론산 클렌징폼 대, 고, 중 세아이가..
사용하는 제품인데 한번 사용해 보려고 구매를 해봤어요^^
세가지 정도 제품의 클렌징폼을 사용하고 있지만 토리든도..
쫀쫀한 제형에 거품도 풍성하고 세정력도 좋은편에 괜찮은..
클렌징폼 중에 하나고 약산성이라 토리든이 토리든 하네요!!"
2026-09-10,A000000262912,64891525,2026.08.28,5,1,OFFLINE, ,,,,2,837.0,1,0,poo486,사실 아직써보지는않앗고 코르티스 여드름 패치 받으려면 이거 사야한다길래 샀어요ㅋㅋ
