수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-08-22,A000000240462,64030678,2026.08.10,5,0,NORMAL, ,,,,2,1134.0,0,0,Dis0ng,너무너무 좋음 요런 랩핑마스크류 하나씩 다 써보고있는디 이거 너무 좋음 다만 가격이 사악함 :; 행사 자주해주세요 ㅜㅜ
2026-08-22,A000000223414,64002245,2026.08.10,5,0,NORMAL,마데카소사이드 흔적 리페어 10+1매,A01,B02,"C01,C05",6,3294.0,0,0,네임리스,요즘 피부가 쉽게 붉어지고 뒤집어져사 구매했어요. 다음에 또 구매할게요.
2026-08-22,A000000223414,63194514,2026.07.23,5,0,NORMAL,콜라겐 코어탄력 1매,,,,6,2700.0,1,1,mini101,"​믿고 쓰는 메디힐 마스크팩인데 콜라겐 타입은 피로하고 지친 피부에 탄력을 채워주는 느낌이 확실히 들어요!
시트가 피부에 착 붙어서 에센스가 겉돌지 않고 흡수가 아주 잘 됩니다. 
떼어내고 나면 피부가 쫀득해지고 속건조도 깔끔하게 잡아주네요. 중요한 날 전날 밤이나 피부 탄력 케어가 필요할 때 한 장씩 붙이기 정말 좋습니다!"
2026-08-22,A000000223414,63377015,2026.07.28,5,1,GIFT, 티트리 진정수분 1매,A01,B04,"C05,C06",15,2556.0,0,1,텅장이지만또살거긴해,"촉촉하긴해~
가격도 좋긴해~
티트리가 근본이긴해~
매일 써도 무리없긴해~"
2026-08-22,A000000223414,63946690,2026.08.09,5,1,GIFT,히알루론산 고밀도수분 10+1매,A03,B02,"C07,C10",5,2430.0,0,1,Meo92,"건조한 날 간단하게 수분을 채우기 좋은 마스크팩이에요. 시트가 에센스를 충분히 머금고 있어서 얼굴에 붙여두는 동안 촉촉함이 유지됐고, 떼어낸 후에도 피부가 부드럽게 느껴졌습니다. 특히 세안 후 당김이 심한 날 사용하면 즉각적으로 촉촉해지는 느낌이 있어 만족스러웠어요. 10+1매라 여러 번 사용할 수 있어서 데일리 수분팩을 찾는 분들에게 추천하고 싶은 구성입니다."
2026-08-22,A000000231822,64226492,2026.08.15,4,1,OFFLINE, ,A03,B03,C01,1,1260.0,1,0,치이키와,기름 싹 사라지고 좋긴함! 근데 코기름이 좀 많은 편이라 그런지ㅠ 지속력2시간정도?인듯 입자 정말 고와유
2026-08-22,A000000245960,64390110,2026.08.18,5,0,NORMAL, ,A04,B04,"C01,C04",0,792.0,1,0,미뉴우,"하도 많이 뜨길래 궁금해서 구매했어요ㅋㅋ
화장 전에 발라도 밀리거나 무너지는 거 없구
광이 자연스럽게 돌아요ㅎㅎ
투명메이크업 할 때 하기 좋을거 같아요
전 만족합니다 
진정이나 탄력 효과는 한달 써봐야 알 거 같아요"
2026-08-22,A000000245960,64040176,2026.08.10,5,1,OFFLINE, ,,,,0,99.0,1,0,mjc****,다이소 메디카 라인 좋아서 썼다가 올영에도 라인나와서 썼는데 좋네요 연고같지만 보습에도 좋고 화장 밀림없이 잘 먹어요!
2026-08-22,A000000255256,64290762,2026.08.16,1,0,NORMAL,901 트루피치,A03,B04,"C01,C05",10,5040.0,1,0,옷수수싯빵,이게 어떻게 같은 색인가요.. 지속력도 별로고 색 보자마자 오래된걸 줘서 상했나 의심했네요 상세페이지 보고 핑크빛나는 누드컬러길래 예뻐서 샀는데 받아보니까 이건 그냥 황토색에 베이지색이네요 쿨베스트는 전혀 아니구 발림성도 정말 최악이에요 제 입술 주름이 어떻게 생겼는지 다 보이고 각질 부각도 너무 심하고 요거트현상도 있어요 글로스를 발라도 각질부각 안 가려집니다 인스타 마케팅이 너무 심하네요 제가 사본 틴트중에 가장 최악이었습니다 상세페이지 색감 사진 바꾸세요 다르다는 리뷰도 한두개가 아닌데 리뷰는 확인 안하시나봅니다
2026-08-22,A000000171427,64249351,2026.08.15,5,0,NORMAL,[리뉴얼] PDRN 모공탄력패드 100매,,,,15,5580.0,1,0,우야0,"✔️예전부터 쓰던 패드인데 리뉴얼됐다고 해서 바로 다시 써봤어요 ㅎㅎ
✔️100매라 부담 없이 팍팍 쓰기 좋고 모공 고민 있을 때 손이 자주 가요 ㅋㅋ

⭐ 사용감
원단이 바뀐 게 진짜 신의 한 수 같아요! 박박 닦아도 자극적인 느낌이 거의 없고 피부결이 보들보들해보이고 진짜 저 개 예민피부인데 자극없어요 ㄹㅈㄷ

⭐ 화장 전후
메이크업 전에 한 장으로 피부결 정리해주면 베이스가 훨씬 매끈하게 올라가요! 

⭐ 총평
역시 꾸준히 쓰게 되는 패드! 촉촉하게 피부결 관리하면서 팍팍 쓰기 좋은 갓성비 패드라 만족스러워요 ㅋㅋ
리뉴얼되면서 더 사용간편해지고
가성비 갓갓 최고"
2026-08-22,A000000171427,64476662,2026.08.20,5,0,NORMAL,피토엔자임 각질필링 패드 100매,A01,B01,"C03,C04",6,5112.0,1,0,올리뷰과몰입,"와우 이거 너무 좋네용! 이거 사는게 제 버킷리스트
이루어졌어요! 앨루 너무 즇아요! 
패드 짱 좋아오"
2026-08-22,A000000171427,64476133,2026.08.20,5,0,NORMAL,마데카소사이드 흔적 패드 100매,A01,B01,"C03,C04",9,5112.0,1,0,올리뷰과몰입,"역시 메디힐 장난 아닌데요? 
가성비 너무 좋네요 
짱이에요!"
