수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,대표이미지URL,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-09-01,전체,1,메디힐,[15년 연속 1위/7일 한정판매] 메디힐 에센셜 마스크팩 10+1매 기획 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A000000223414122ko.png?l=ko,20000,9900,50.5,490788,4.9,91,7,2,0,0,1,1,0,1,A000000223414,ALL
2026-09-01,전체,2,아누아,[9월 올영픽/산리오캐릭터즈 콜라보] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블기획(+시나모롤 파우치),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262602,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026260213ko.png?l=ko,57500,26900,53.2,22390,4.8,85,10,4,1,1,1,1,0,1,A000000262602,ALL
2026-09-01,전체,3,제로이드,[9/1 하루특가][누렁이 콜라보] 제로이드 인텐시브 크림 80ml+50ml 기획 (+누렁이 파우치),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263068,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026306838ko.jpg?l=ko,40000,28900,27.7,12545,4.8,88,9,3,0,1,1,1,0,1,A000000263068,ALL
2026-09-01,전체,4,스킨푸드,[9/1하루특가/1+1] 스킨푸드 캐롯 카로틴 카밍 워터 패드 60매 더블기획 (+PDRN 패드 2매*3),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255585,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025558510ko.jpg?l=ko,42000,23900,43.1,106675,4.8,89,8,2,0,1,1,1,0,1,A000000255585,ALL
2026-09-01,전체,5,라곰,[9/1 하루특가][9월 올영픽] 라곰 셀럽 마이크로 폼 클렌저 120ml 2입 기획 (+포차코 파우치형 장바구니),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263428,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026342811ko.jpg?l=ko,29000,20900,27.9,24079,4.8,88,9,3,0,0,1,1,0,1,A000000263428,ALL
2026-09-01,전체,6,제로이드,[9월 올영픽][누렁이 콜라보] 제로이드 포밍 클렌저 240ml 본품 + 240ml 리필 기획 (+랜덤 띠부씰 1종),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263072,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026307223ko.jpg?l=ko,43000,30960,28.0,6527,4.9,89,8,2,0,0,1,1,0,1,A000000263072,ALL
2026-09-01,전체,7,메디힐,[산리오캐릭터즈 에디션] 메디힐 더마 토너패드 100+100매 7종 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262413,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A000000262413237ko.png?l=ko,39900,28330,29.0,81382,4.8,86,10,3,1,1,1,1,0,1,A000000262413,ALL
2026-09-01,전체,8,에스네이처,[스테디셀러 특가/9월올영픽/헬로키티] 에스네이처 아쿠아 스쿠알란 수분크림 60ml더블기획(+헬로키티키캡키링),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263782,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026378289ko.png?l=ko,43000,20900,51.4,57958,4.8,86,10,3,1,1,1,1,0,1,A000000263782,ALL
2026-09-01,전체,9,미쟝센,[9/1 하루특가][9월 올영픽/태닝포차코] 미쟝센 퍼펙트 오리지널 세럼 80ml 더블기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263623,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026362392ko.jpg?l=ko,19800,16500,16.7,46350,4.8,87,10,2,0,0,1,1,0,1,A000000263623,ALL
2026-09-01,전체,10,에스트라,에스트라 아토베리어365 크림 80ml 기획(+토너25ml+클렌징폼3g*3EA),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261864,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026186409ko.jpg?l=ko,33000,24950,24.4,38681,4.9,90,7,2,0,1,1,1,0,1,A000000261864,ALL
2026-09-01,전체,11,메디힐,[9/1 하루특가/양현종 PICK] 메디힐 마데카소사이드 수분 선세럼 흔적 리페어 50+50+15g 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232672,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023267264ko.jpg?l=ko,34900,20800,40.4,16126,4.9,90,8,1,0,0,1,1,0,1,A000000232672,ALL
2026-09-01,전체,12,피지오겔,[9/1 하루특가][잠티PICK] 피지오겔 데일리뮨 앰플 20ml+20ml 기획(+마스크1매),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263542,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026354257ko.jpg?l=ko,78000,49900,36.0,10066,4.8,87,10,2,0,0,1,1,0,1,A000000263542,ALL
2026-09-01,전체,13,어노브,[스테디셀러 특가] 어노브 딥 데미지 리페어 헤어 마스크 (트리트먼트/헤어팩) 320ml 더블/듀오 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0017/A000000171423165ko.jpg?l=ko,42000,27900,33.6,92262,4.9,90,8,2,0,0,1,1,0,1,A000000171423,ALL
2026-09-01,전체,14,얼터너티브스테레오,[9/1 하루특가][NEW/단독선런칭] 얼터너티브스테레오 립 포션 카라멜 글레이즈 8ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000234394,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A000000234394110ko.jpg?l=ko,19000,15100,20.5,34903,4.8,86,10,3,1,0,1,1,0,1,A000000234394,ALL
2026-09-01,전체,15,웰라쥬,[스테디셀러 특가] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+60ml 리필+수딩크림 30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261423,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026142337ko.jpg?l=ko,50000,29300,41.4,20786,4.8,89,8,2,0,0,1,1,0,1,A000000261423,ALL
2026-09-01,전체,16,오프라 코스메틱,[패키지리뉴얼/톤별맞춤] 오프라 슬림 미니 하이라이터 (+기획/본품),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263862,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026386205ko.jpg?l=ko,29000,24650,15.0,6131,4.8,87,9,3,1,1,1,1,0,1,A000000263862,ALL
2026-09-01,전체,17,토리든,[7일특가/올영픽] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필 기획(+50ml 리필+자석인형) (시나모롤),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263664,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026366409ko.png?l=ko,36000,25550,29.0,2055,4.9,89,8,2,0,0,1,1,0,1,A000000263664,ALL
2026-09-01,전체,18,비플레인,[스테디셀러 특가] [2천만돌파] 비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000260522,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026052212ko.jpg?l=ko,26000,22800,12.3,20295,4.8,89,8,2,0,0,1,1,0,1,A000000260522,ALL
2026-09-01,전체,19,마녀공장,[스테디셀러 특가/최미나수PICK/블랙헤드1등] 마녀공장 퓨어 소이빈 클렌징오일 200ml 2입 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253617,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025361759ko.jpg?l=ko,37000,22500,39.2,57238,4.8,86,10,3,0,0,1,1,0,1,A000000253617,ALL
2026-09-01,전체,20,프로티원,[스테디셀러 특가] [1+1] 프로티원 단백질쉐이크 파우치형 40g 6종,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202771,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A000000202771201ko.jpg?l=ko,3900,3690,5.4,101940,4.8,86,9,4,1,1,0,1,0,1,A000000202771,ALL
2026-09-01,전체,21,바닐라코,[99특가/1등 클렌징밤] 바닐라코 클린잇제로 클렌징밤 100ml 기획 (+미니밤 25ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231950,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023195067ko.jpg?l=ko,20000,13500,32.5,25440,4.9,91,7,2,0,0,1,1,0,1,A000000231950,ALL
2026-09-01,전체,22,정샘물,[스테디셀러 특가/미니쿠션 증정] 정샘물 에센셜 스킨 누더 쿠션 한정 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000139063,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0013/A000000139063181ko.jpg?l=ko,48000,37920,21.0,39269,4.7,81,13,4,1,1,1,1,0,1,A000000139063,ALL
2026-09-01,전체,23,메노킨,[9/1 하루특가/1위 원조 버블팩]메노킨 30초 퀵 버블 마스크 모이스트 2종 택1(+30ml 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000234422,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023442252ko.jpg?l=ko,28500,22900,19.6,25134,4.8,87,7,4,1,1,1,1,0,1,A000000234422,ALL
2026-09-01,전체,24,셀리맥스,[잡티미백/TXA] 셀리맥스 트라넥삼산 브라이트닝 크림 랩핑 마스크 5매 기획 (+1매),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240462,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024046221ko.jpg?l=ko,26800,20730,22.6,3112,4.9,91,6,2,1,0,1,1,0,1,A000000240462,ALL
2026-09-01,전체,25,이니스프리,[9/1 하루특가][저자극레티놀앰플] 이니스프리 레티놀 시카 모공 흔적 앰플 30ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262817,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026281720ko.jpg?l=ko,48000,24700,48.5,4132,4.9,94,5,1,0,0,1,1,0,1,A000000262817,ALL
2026-09-01,전체,26,페리페라,[9/1하루특가ㅣ율무여신 재입고] 페리페라 무드 글로이 틴트 32 Colors (단품/기획),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244834,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024483459ko.jpg?l=ko,13000,8500,34.6,154111,4.7,81,14,4,1,1,1,1,0,1,A000000244834,ALL
2026-09-01,전체,27,바이오던스,[스테디셀러 특가/7+1/산리오 굿즈] 바이오던스 리얼 딥 마스크 7+1매 기획 (콜라겐/세라놀) (+헬로키티/포차코),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261842,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026184207ko.jpg?l=ko,35000,27900,20.3,6489,4.8,85,10,4,1,1,1,1,0,1,A000000261842,ALL
2026-09-01,전체,28,메이크프렘,[9월올영픽/산리오콜라보] 메이크프렘 세이프 미 클렌징밀크 200ml기획 (+리필 200ml+미니21ml+손목세안밴드),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000262530,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0026/A00000026253036ko.jpg?l=ko,34000,20900,38.5,42710,4.8,87,9,2,0,0,1,1,0,1,A000000262530,ALL
