수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-08-15,A000000223414,62357391,2026.07.05,5,1,OFFLINE,마데카소사이드 흔적리페어 1매,A04,B04,C04,46,5058.0,1,0,봉보옹,"메디힐 에센셜 마스크팩 
마데카소사이드 흔적리페어
수분 잡티흔적 진정 ~~~에 좋아요 ~~"
2026-08-15,A000000223414,62357115,2026.07.05,5,1,OFFLINE,콜라겐 코어탄력 1매,A04,B04,C04,44,5058.0,1,0,봉보옹,"메디힐 에센셜 마스크팩
콜라겐 코어탄력 마스크팩이라 탄력 ~~ 케어에 좋고 탱탱하고 좋아요"
2026-08-15,A000000171427,63639599,2026.08.02,5,0,NORMAL,티트리 200매+케이스+스티커,,,,22,2115.0,1,0,rkddmstjj,"메디힐 패드는 워낙 유명해서 믿고 구매했는데, 200매 대용량이라 마음 놓고 팍팍 쓸 수 있어서 너무 좋아요! 특히 티트리라 피부 진정에도 확실히 도움 되는 것 같고, 패드 크기도 적당해서 토너팩으로 쓰기에 딱입니다. 구성도 알차고 가성비 최고예요"
2026-08-15,A000000171427,63793446,2026.08.06,5,0,NORMAL,PDRN 모공 탄력 패드 100매,A03,B04,"C01,C08",1,1890.0,1,0,챼리,메디힐 진정? 하늘색으로 된거 사용하다가 다 쓰기도 했고 너무 오래 똑같은건 쓰니까 지겨워서 보라색 PDRN 주문해봤어요. 사실 사용 한지 3일 밖에 안 돼서 아직 잘 모르겠지만 잘 맞았으면 좋겠네요! 나중에 한 달 사용 후기도 남겨볼게요!!
2026-08-15,A000000134691,64256443,2026.08.15,5,0,NORMAL, 시카비오 포마드 단품,,,,0,300.0,0,0,노랑랑랑,지성은 시카비오를 더 추천하던데 전 이게 더 좋았어요💜 오일성분 많고 그래서 지성은 다 비추하지만 역시 피부바이피부인가 봅니다.. 솔직히 시카비오는 가격대비 좋은지 잘 모르겠던데(요즘 한국제품도 다 잘 나와서) 포마드는 환절기나 레티놀 잘 못 발라서 붉어지고 아프고 따갑고 할 때 응급템으로 쓰기 정말 좋아요!!! 지성은 정말 콩알만큼 짜서 조금씩 바르시길 추천합니다 다음날 아침에 보면 정착하게 됩니다 굿
2026-08-15,A000000134691,63568910,2026.08.01,5,0,NORMAL, 시카비오 포마드 단품,,,,0,297.0,1,0,뿌닝ㅇ,자극없고 순하고 진정에도 좋아요 피부 자극있을때 바르면 진정에 좋아요
2026-08-15,A000000231589,64210339,2026.08.14,5,1,OFFLINE, ,A04,B04,"C08,C09",0,528.0,1,0,코코요,"순한거 같고 뭔가 진짜 피부장벽에 도움이 될거같음!!
재구매 할거같에요"
2026-08-15,A000000260463,64245065,2026.08.15,3,0,NORMAL, 복숭아(OY 단독),,,,0,396.0,1,0,ewah****,매장에서구입할까하다가. 오느드림으로. 구입. 잘쓸게요
2026-08-15,A000000260463,64252327,2026.08.15,5,1,OFFLINE, 복숭아(OY 단독),,,,0,240.0,0,0,망고제이,"사용하기 편하고 거품도 잘 나서 간단하게 발을 씻기 좋아요. 씻고 나면 발이 깔끔하고 상쾌한 느낌이라 매일 사용하기 좋았어요. 대용량이라 넉넉하게 사용할 수 있고, 향도 부담스럽지 않아서 만족스러워요. 욕실에 두고 편하게 사용하기 좋은 제품이에요."
2026-08-15,A000000260463,64111907,2026.08.12,5,1,OFFLINE,쿨링,,,,0,88.0,1,0,dl****,"발을씻자 발을씻자 쿵쿵쿵
첨 사봣는데 여러모로 쓸모가 굿굿 잡이네영!!"
2026-08-15,A000000260463,64248924,2026.08.15,5,0,NORMAL,쿨링,A02,B01,"C03,C04",0,72.0,0,0,안이아니야,"평소 사용하던건데 위클리 초특가로 할인해서 구매했어요, 발 씻기 간편하고 좋아요"
2026-08-15,A000000260463,64248920,2026.08.15,5,1,OFFLINE, 복숭아(OY 단독),A02,B01,"C03,C04",0,72.0,0,0,안이아니야,"평소 사용하던건데 위클리 초특가로 할인해서 구매했어요, 발 씻기 간편하고 좋아요"
2026-08-15,A000000260463,64247820,2026.08.15,5,1,OFFLINE, 복숭아(OY 단독),A03,B03,"C01,C04",0,72.0,0,0,세싹,복숭아향은 처음봐서 언능 쟁여봤는데 너무 좋아요..ㅠㅠ
2026-08-15,A000000260463,64158034,2026.08.13,5,1,OFFLINE, 복숭아(OY 단독),A02,B04,"C04,C09",0,72.0,0,0,슈크림플루토,이향이 나와서 기존것 다써서 구입해봄  향이 피치피치 ㅎㅎ  좋아요
2026-08-15,A000000260463,64159533,2026.08.13,5,1,OFFLINE,쿨링,,,,0,60.0,0,0,치즈CHEEz,"발 씻으려고 산 거 아니었는데 여름에 발 씻을 때도 잘 쓰고 화장실 청소할 때도 잘 썼어요 근데 바선생은 못 잡았네요,,,"
2026-08-15,A000000260463,64110550,2026.08.12,5,1,OFFLINE,쿨링,A03,B06,"C04,C05",0,48.0,0,0,왕뚱띠카와,매일 매일 온가족이 사용하기에 좋은 제품이에요. 쿨링은 진짜 시원합니다
2026-08-15,A000000260463,64021332,2026.08.10,5,1,OFFLINE,쿨링,A04,B03,"C05,C08",0,48.0,0,0,미밍,"저렴하게 구매했어요 저는 개인적으로 분홍색이 더냄새가 조ㅗ았고 여름이라 쿨링 구매해봤는데
다음엔 핑크할꼬에요"
2026-08-15,A000000260463,64218508,2026.08.14,5,1,OFFLINE,쿨링,,,,0,40.0,0,1,angel1****,"퇴근 후 허리 숙여 씻을 필요 없이 칙칙 뿌려주기만 하면 끝나는 진짜 삶의 질 상승템이에요! 풍성한 거품이 바로 나와서 슥슥 문지르기만 해도 꿉꿉한 냄새와 피로가 한 번에 싹 씻겨 나갑니다.
특히 상큼달달한 복숭아 향이라 사용할 때마다 기분이 좋아지고, 대용량이라 발 세정은 물론 욕실 청소용으로도 든든하게 쓰기 좋아요. 발 케어 귀차니스트분들께 무조건 강추합니다!"
2026-08-15,A000000260463,64199104,2026.08.14,5,1,OFFLINE, 복숭아(OY 단독),,,,0,36.0,0,0,쿠쿠키,향 넘 좋고 발 뽀뜩뽀득 잘닦여요. 이걸로 한번씻으면 너무 개운해요
2026-08-15,A000000260463,64126887,2026.08.12,5,1,OFFLINE,쿨링,A01,B05,"C01,C04",0,36.0,0,0,2652****,냄새도 허브향이고 좋아요 손 닿기 싫어서 이걸로 그냥 씻을 땐 좋아요
2026-08-15,A000000260463,64104060,2026.08.12,5,1,OFFLINE, 복숭아(OY 단독),A03,B06,,0,36.0,0,0,jya****,이거 없으면 이제 살아갈 수가 없음 ㅜㅜ 510 세일하길래 삿는데 또 리뉴얼도 됐다해서 기존에 쓰던 거 다 써가서 구매함
2026-08-15,A000000260463,64066853,2026.08.11,5,1,OFFLINE, 복숭아(OY 단독),,,,0,36.0,0,0,유몽,"복숭아향 궁금해서 사봤는데 원래 사던 자몽향이 더 좋군요 ㅎㅎ
재구매는 자몽향으로.."
2026-08-15,A000000260463,64027278,2026.08.10,5,1,OFFLINE,쿨링,,,,0,36.0,0,0,라잌라임,그냥 욕조 안에서 대충 칙칙 뿌리고 발 씻기 편해요!!! 이걸 왜 이제야 샀나 앞으로 계속 재구매 할 것 같습니다.!
2026-08-15,A000000260463,64021751,2026.08.10,5,1,OFFLINE, 복숭아(OY 단독),,,,0,36.0,0,0,아리주,복숭아 냄새 너무 좋아요!!!! 레몬썼었는데 ㅎㅎ복숭아로 갈아탔어요 ㅎㅎ
2026-08-15,A000000260463,64241498,2026.08.15,5,0,NORMAL, 복숭아(OY 단독),,,,0,24.0,0,0,dbgmlt****,복숭아 냄새 좋아융~ 발을 씻을 때도 벌레를 잡을 때도 옷에 얼룩을 지울 때도 발을씻쟈~~
