,실제(Actual),사전평균(무보정),시장대조(DiD),"ARIMA(1,0,0)",EARTH(MARS 근사),신경망(MLP)
D-7,104.5,104.5,104.5,104.5,104.5,104.5
D-6,92.6,92.6,92.6,92.6,92.6,92.6
D-5,121.9,121.9,121.9,121.9,121.9,121.9
D-4,101.8,101.8,101.8,101.8,101.8,101.8
D-3,102.2,102.2,102.2,102.2,102.2,102.2
D-2,109.3,109.3,109.3,109.3,109.3,109.3
D-1,74.1,74.1,74.1,74.1,74.1,74.1
D+0,123.5,100.0,114.9,112.6,117.1,122.2
D+1,119.2,101.1,107.7,94.4,112.6,114.7
D+2,102.9,101.0,97.0,106.2,104.7,104.8
D+3,109.5,100.0,98.9,97.5,106.5,105.4
D+4,100.9,101.0,90.2,103.9,99.6,97.5
