width,height,brightness,saturation,colorfulness,white_border_share,edge_density,dominant_hue,file
400,400,145.30405360625,0.20158808899911745,29.359381109103932,9.375e-05,5.282448330200501,12.0,001a797232ce5eae.jpg
400,400,153.21041705,0.43455036981126277,103.54543584430725,0.0260625,11.722200924185461,196.0,001daf52141b6fa3.jpg
400,400,217.3010631875,0.14237340466652357,72.00316813302457,0.438421875,6.019278295739349,232.0,003334d2e2159653.jpg
400,400,141.83103833750002,0.3119158031002901,47.196227184288496,0.25253125,7.944118959899749,120.0,00334ba99ffeb661.png
400,400,201.3376868375,0.2877791508975344,66.07631496905911,0.001890625,4.988126594611529,128.0,0041139436a0309a.jpg
400,400,185.84952013125002,0.68843831003265,96.55416497170906,0.0,6.363584244987469,36.0,0049251182556c08.jpg
400,400,210.13559528125003,0.1531602394700845,40.944969850067714,0.923421875,3.7151140100250633,67.0,005102e6e79a10a1.jpg
400,400,128.03600988125,0.4694445093869811,95.62909672854332,0.001078125,7.759579711779448,127.0,0052ae600f671c83.png
400,400,185.85954875000002,0.22851281926631908,47.84630735271994,0.004359375,2.376060629699248,12.0,00631e9fdfef44b7.jpg
400,400,172.43104653125,0.5139224974718569,122.17959751214025,0.10753125,4.8572116290726814,130.0,007ab4c2608c07b7.jpg
400,400,184.29615727499998,0.040843881719646626,6.1065268120352645,0.9664375,2.682313370927318,160.0,00818f72db082e66.jpg
400,400,150.37414971249999,0.2530880222890377,37.82822883127986,0.041546875,6.769078771929825,102.0,00b3ac2c2250d887.png
400,400,156.53545151875,0.28389949831735684,68.49860253913482,0.05646875,6.912912058270677,47.0,00c7b9dec33e00ab.jpg
400,400,146.75932883125,0.19530691446649123,27.88327068703794,0.0,2.069655645363408,148.0,00cb645a0ab5e4fd.jpg
400,399,164.41710745614037,0.5370906320665794,128.003256099666,0.005680177144507558,7.349405485405937,139.0,00ee7658db4b1e2b.jpg
400,400,184.741637675,0.25538386252958434,47.298240530570524,0.0041875,5.685860513784461,18.0,00f329e80c0c795d.jpg
400,400,159.22676913749999,0.5069680016285291,144.92780996145606,0.03153125,9.568054552005012,140.0,00f5ccd496c56944.jpg
400,400,197.2662648875,0.19618432444548237,62.5161279367826,0.19525,6.666318179824561,240.0,0106768b2470c2bf.jpg
400,400,193.27027565,0.2068037124586336,57.880150220271624,0.03021875,4.407131331453634,175.0,010bc3e426b201b0.jpg
400,400,113.45851863749998,0.9256706099314397,100.23417272349552,0.0,2.4929444329573935,140.0,0112f77359854420.jpg
400,400,142.30265436874998,0.312857284697139,43.93928658398157,0.008859375,4.636927346491229,16.0,01257c88c4e162fc.png
400,400,204.74171245,0.10803242818047638,31.969569520139263,0.003953125,6.036582521929824,142.0,01269ab301e922e4.jpg
400,400,152.45942443125,0.5533104733635617,106.20276287924459,0.06275,12.031777872807016,239.0,013d8ed0fd15c6c7.jpg
400,400,114.67392865625001,0.2692619877945371,44.81579951831864,0.012171875,9.176481713659147,16.0,0144adc8ffda91d0.jpg
400,400,165.431979225,0.34909757949691,77.61534064358918,0.042078125,6.5705602098997495,19.0,0148398a9c9ab70a.jpg
