,실제(Actual),사전평균(무보정),시장대조(DiD),"ARIMA(1,0,0)",EARTH(MARS 근사),신경망(MLP)
D-7,85.2,85.2,85.2,85.2,85.2,85.2
D-6,110.6,110.6,110.6,110.6,110.6,110.6
D-5,106.9,106.9,106.9,106.9,106.9,106.9
D-4,106.9,106.9,106.9,106.9,106.9,106.9
D-3,107.1,107.1,107.1,107.1,107.1,107.1
D-2,108.0,108.0,108.0,108.0,108.0,108.0
D-1,79.9,79.9,79.9,79.9,79.9,79.9
D+0,189.9,100.0,180.7,109.4,165.2,182.9
D+1,71.4,100.6,72.5,96.1,74.7,76.6
D+2,193.1,101.9,184.9,106.3,167.2,172.2
D+3,135.2,100.8,132.8,99.1,123.8,127.5
D+4,121.7,94.0,120.6,96.9,115.0,115.0
