카테고리,tier,b_1-10%,b_10-20%,b_20-30%,b_30-40%,b_40%+,N,price,cluster,type
건강식품,저가,-0.5755085879901539,-0.04112166693016785,0.44139590477019064,0.6946238750800879,0.22553845560590058,1030.0,11900.0,1,가속형
건강식품,중가,-0.07866566137033236,-0.11164799333146194,0.21878342442299856,0.336646572843327,-0.12644695239003795,1029.0,18900.0,1,가속형
건강식품,고가,-0.33870816007283516,-0.2687984406380031,-0.24528535589006367,-0.014244108124693865,-0.2501425220670131,1030.0,31400.0,0,무반응·역행형
구강용품,저가,-0.2013123575571414,-0.05189138511224157,0.4242065430745305,0.3934253676104463,0.1332853311726903,1112.0,5900.0,1,가속형
구강용품,중가,0.35738821870372506,0.45241921014599557,0.6215679337756143,0.7099961914318246,0.5526367637428266,1111.0,9900.0,1,가속형
구강용품,고가,-0.1883649768510315,-0.0340971800199919,-0.13165062633884766,0.29720310968465863,0.14534736122047956,1112.0,17000.0,3,데스밸리형
네일,저가,0.3922056975573288,0.23198429481518712,0.3994251168592937,0.18000119297362605,1.6196922201622381,1247.0,6000.0,1,가속형
네일,중가,-0.18640258790913605,0.16859134260229253,0.25674778708148727,0.7651889313889039,,1247.0,10900.0,1,가속형
네일,고가,0.1265583867682606,0.20972899346238433,0.5224208512190254,-0.11901843748524633,,1247.0,16000.0,2,포화형
더모 코스메틱,저가,,-0.5140858406480527,-0.47885106662638177,0.3560905869942825,-0.13633813107261375,507.0,19600.0,3,데스밸리형
더모 코스메틱,중가,0.2002511429426252,0.14462029044100963,0.4178566668700676,0.643662403295121,,507.0,27900.0,1,가속형
더모 코스메틱,고가,,0.11740319461106741,0.1716942364543997,0.4224365939799061,0.27196560992681473,507.0,38300.0,1,가속형
마스크팩,저가,,-0.2028296971164969,-0.13276129944653323,0.0651009353090832,0.2878402596759639,1153.0,9400.0,3,데스밸리형
마스크팩,중가,-0.510308710140462,-0.07939588487460073,-0.11251386838386505,0.11249761957346192,0.2624938795670664,1152.0,18900.0,3,데스밸리형
마스크팩,고가,0.340963847109661,-0.18086353781036255,0.29384800933458577,0.2569453738595661,0.1336494616919976,1153.0,26900.0,1,가속형
맨즈에딧,저가,0.3414639092312371,0.08396955087274469,0.03693923446165472,0.05582544733529454,0.11923470769047069,965.0,11900.0,2,포화형
맨즈에딧,중가,-0.022040625769010343,0.1153653099388515,-0.009806625365094449,-0.03493779206340786,-0.25168764884019357,965.0,20400.0,2,포화형
맨즈에딧,고가,0.27118451492288215,0.13186259355208418,-0.113851024825561,-0.16678953860016532,-0.297097477236544,965.0,32300.0,2,포화형
메이크업,저가,-0.2244957691243953,-0.22523247593187762,-0.02964371329769943,-0.035139840026556714,,1169.0,10500.0,0,무반응·역행형
메이크업,중가,0.08634945914612974,-0.002430466815630609,-0.016567709632786094,-0.17197248352461827,,1169.0,15900.0,2,포화형
메이크업,고가,-0.800457465295984,-0.49601063474979784,-0.14452916464112028,-0.19411625342939928,,1170.0,28800.0,0,무반응·역행형
바디케어,저가,-0.16226310475909275,-0.2659735487510492,0.03148037104296991,-0.24701353047954577,-0.3969951465055595,1008.0,8900.0,0,무반응·역행형
바디케어,중가,-0.06361334317339642,-0.2663592598158945,-0.4403480047046754,-0.06361727812046465,-0.5908729742824983,1008.0,14900.0,0,무반응·역행형
바디케어,고가,-0.29211028585565335,-0.18879410782166747,0.007341176686599154,0.040210998065546705,-0.2172987193883912,1008.0,21600.0,0,무반응·역행형
뷰티소품,저가,-0.25869999240380676,-0.31400410949826235,-0.10688360307713016,-0.8999344810218717,,1156.0,3000.0,0,무반응·역행형
뷰티소품,중가,-0.2893728612143034,-0.26272618898230116,-0.42643629809163464,-0.4991055990783865,,1156.0,8160.0,0,무반응·역행형
뷰티소품,고가,-0.17533567311181167,-0.10313381562038389,0.24898994842817146,0.7128476042636689,,1156.0,14000.0,1,가속형
선케어,저가,0.643819926803493,0.5635093356648441,0.4383347807645474,0.659350046225139,0.7150958877727949,1158.0,14400.0,1,가속형
선케어,중가,,-0.11088263828667658,-0.21028784728066247,-0.17644082895966764,-0.4951920866787456,1158.0,20810.0,0,무반응·역행형
선케어,고가,0.19884850941082405,0.2194234096692499,0.23775365571202803,0.6348174051793761,0.2669441423247746,1158.0,27500.0,1,가속형
스킨케어,저가,-0.17538281275860923,,-0.10035341295306073,0.18688884476346954,0.27303786504376665,1169.0,20900.0,3,데스밸리형
스킨케어,중가,-0.8948499028845103,-0.5425511525542415,-0.2988127375667503,-0.11359450384361046,-0.551302369023294,1168.0,27500.0,0,무반응·역행형
스킨케어,고가,-0.42440823860028554,-0.13963634601267438,-0.08697787591009461,0.09949329036455455,0.3648849391649672,1169.0,36900.0,3,데스밸리형
위생용품,저가,0.44799697835125857,0.03177214889036444,0.11505683205864235,0.445800711515037,0.7074963790031079,1121.0,4800.0,1,가속형
위생용품,중가,0.16065399589747548,0.3156345241809644,0.4723671697300882,0.4593836410560096,0.83527141440795,1120.0,8500.0,1,가속형
위생용품,고가,0.2849108359928882,0.3540695351327685,0.5254789900907849,0.7211157037150159,0.746012437888223,1121.0,16900.0,1,가속형
취미/팬시,저가,0.20622243775219268,0.2710427363744022,0.9217435136036787,-0.20656312378178182,1.1109399698310445,1028.0,12000.0,1,가속형
취미/팬시,중가,0.004887290371605572,0.11925384227299937,0.07254389799978898,0.026822832140072448,-0.018075912430157357,1027.0,28400.0,2,포화형
취미/팬시,고가,0.011347558824869458,0.014765927244350576,0.016832890111658977,,,1028.0,89000.0,1,가속형
클렌징,저가,-0.11551784141852445,-0.34946490973583844,-0.26097508229915056,-0.23221273062088266,-0.07118883379740726,1171.0,14400.0,0,무반응·역행형
클렌징,중가,-0.11747338602752717,0.1821925814688352,0.26898082329032513,0.2970367195259998,-0.20910214145939662,1171.0,18900.0,1,가속형
클렌징,고가,0.1921353543299257,0.06137025371420249,-0.08677242613078451,0.09257229599465729,-0.13575042369473003,1171.0,24600.0,2,포화형
패션,저가,-0.115849105504737,0.08251729684496292,0.1466865773854533,0.7855902963256644,0.6925284117826037,974.0,10900.0,1,가속형
패션,중가,0.3235486027458624,0.04705659261375404,0.7362025100759069,0.34430120456449076,0.4156924781923381,974.0,17800.0,1,가속형
패션,고가,-0.11535540779314873,-0.02640586873035535,0.1518982365172948,0.8888451733967497,,974.0,32900.0,1,가속형
푸드,저가,0.26909071338234175,0.3019269487205495,0.3555537099097174,0.6394922500003545,0.2995541984460736,1030.0,2490.0,1,가속형
푸드,중가,0.35180453567984826,-0.4549723827673092,0.07066617912123238,-0.5880526703411431,0.28436270528977975,1030.0,4000.0,2,포화형
푸드,고가,0.1702513636418489,0.2515239567137735,0.08125466212600406,0.5709677889182029,1.1361066797513668,1031.0,18400.0,1,가속형
향수/디퓨저,저가,-0.07548581129556033,-0.16399399149542276,-0.6377168849135711,-0.2746500779474629,-0.3489126136323493,922.0,12900.0,0,무반응·역행형
향수/디퓨저,중가,0.28711741447664313,0.0509659041757761,0.15549667154317184,0.0036311167959192283,-0.07462713825536088,921.0,35910.0,2,포화형
향수/디퓨저,고가,0.49424517473262597,0.21540233321519311,-0.0945706862426002,-0.06329050150306491,0.11322178520077375,922.0,70500.0,2,포화형
헤어케어,저가,,0.11063465552597603,0.2238411134709738,0.3856338700082913,0.6908261181359294,1108.0,12900.0,1,가속형
헤어케어,중가,0.04854884414098386,0.40051505624188133,0.4240702190144871,0.4078945554712521,0.6427845466856139,1108.0,21800.0,1,가속형
헤어케어,고가,0.013847157924616632,0.09686755761098757,0.2501727691343054,0.410873064895075,,1108.0,33600.0,1,가속형
헬스/건강용품,저가,-0.005247016175424229,-0.004567627246475806,-0.3881709429480674,-0.22996344484256978,-0.708195870508713,1069.0,6900.0,0,무반응·역행형
헬스/건강용품,중가,0.2896052744504408,0.46747168680428386,0.6911895598075767,0.7591220867070099,0.4456307076612851,1069.0,12900.0,1,가속형
헬스/건강용품,고가,-0.10221956930467173,-0.2649475902490101,-0.09321495082037769,-0.008255136014877575,0.025545634829011055,1069.0,36550.0,3,데스밸리형
홈리빙/가전,저가,-0.010000459097532702,-0.16901936455671795,0.03143933818120925,0.12333380066890495,0.1293735934408727,767.0,11400.0,3,데스밸리형
홈리빙/가전,중가,0.20862623429784466,-0.0324428047817396,0.01920091568996063,0.6704567859279039,0.8669521073343839,767.0,22200.0,1,가속형
홈리빙/가전,고가,0.09088893107486568,-0.09768036443060091,-0.17244703983812554,-0.04876385011594875,,768.0,59900.0,0,무반응·역행형
