카테고리,tier,b_1-10%,b_10-20%,b_20-30%,b_30-40%,b_40%+,N,price,cluster,type
건강식품,저가,-0.6949950640420227,-0.21882349155030922,0.3431632967517087,0.5976353079951997,0.08912204201325291,918.0,11900.0,3,데스밸리형
건강식품,중가,-0.20733435226064775,-0.2084442321068912,0.07397852581086758,0.1997272639540912,-0.20591564906685322,918.0,18900.0,3,데스밸리형
건강식품,고가,-0.25253877209913234,-0.18499765925948108,-0.1582503392126536,0.06858448664424308,-0.20471654249915974,918.0,31500.0,0,무반응·역행형
구강용품,저가,-0.19056471299784836,-0.062193451591180365,0.4375971503616718,0.42272964780306044,0.051784949976146015,994.0,5800.0,1,가속형
구강용품,중가,0.37934519080463297,0.38109419253297616,0.6243846901554038,0.6796300082818509,0.7321685293779201,993.0,9810.0,1,가속형
구강용품,고가,-0.29615212659471823,-0.07676381124400114,-0.30752581078059166,0.20227825919803177,0.020364051855532073,994.0,17000.0,3,데스밸리형
네일,저가,0.3098401678944184,0.16912969393711194,0.3492632762238013,0.1064062702231807,1.360556947260739,1115.0,6000.0,1,가속형
네일,중가,-0.08534594733490886,0.26090823217108255,0.4014571068805493,0.8726370514441381,,1115.0,10900.0,1,가속형
네일,고가,-0.02147375791038067,0.11747565035477724,0.34486078477305926,-0.21418914360755223,,1116.0,16000.0,2,포화형
더모 코스메틱,저가,,-0.3065290971895061,-0.28738988161155526,0.5786112640558355,0.022760782094212634,455.0,20000.0,3,데스밸리형
더모 코스메틱,중가,0.018867724888776624,-0.1573684543064972,0.26457095103047545,0.4574426755223037,,454.0,28210.0,1,가속형
더모 코스메틱,고가,,0.09750726856893181,0.08449043522877923,0.41256880981530547,0.24754523577960852,455.0,38300.0,1,가속형
마스크팩,저가,,-0.2876443196490759,-0.1727167501744044,0.009244646164101691,0.22589809457658488,1030.0,9300.0,3,데스밸리형
마스크팩,중가,-0.49111177147207474,-0.1588237171497838,-0.13327714188601206,0.12878213089147852,0.19199838454709775,1030.0,18900.0,3,데스밸리형
마스크팩,고가,,-0.2295598133142314,0.20828231070399505,0.15455429996369413,0.025683137119484428,1031.0,26510.0,3,데스밸리형
맨즈에딧,저가,0.4323397012684091,0.1360097644060632,0.09855315214286856,0.12353009520063805,0.20256719117800562,857.0,11900.0,1,가속형
맨즈에딧,중가,-0.021823098934447744,0.1274846975289849,0.02458456118939983,-0.007283504855419094,,857.0,20400.0,2,포화형
맨즈에딧,고가,0.21488468968671876,0.11693322475818464,-0.14980109071656295,-0.17516770721662014,-0.3118760906478123,857.0,33000.0,2,포화형
