,실제(Actual),사전평균(무보정),시장대조(DiD),"ARIMA(1,0,0)",EARTH(MARS 근사),신경망(MLP)
D-7,103.4,103.4,103.4,103.4,103.4,103.4
D-6,92.0,92.0,92.0,92.0,92.0,92.0
D-5,121.0,121.0,121.0,121.0,121.0,121.0
D-4,101.9,101.9,101.9,101.9,101.9,101.9
D-3,102.8,102.8,102.8,102.8,102.8,102.8
D-2,109.2,109.2,109.2,109.2,109.2,109.2
D-1,75.5,75.5,75.5,75.5,75.5,75.5
D+0,122.4,100.0,114.6,112.2,117.0,114.1
D+1,119.9,101.0,108.9,94.9,113.4,109.7
D+2,103.8,101.0,98.1,105.9,104.9,100.2
D+3,112.2,100.0,101.7,97.7,106.8,102.6
D+4,103.6,100.7,93.4,103.3,100.1,97.6
